pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,0,7,1,prot-199192--105
fcfff492e00727b6,Stockholm,Helsingfors,0,86,1,prot-199192--105
fcfff492e00727b6,Stockholm,Helsingfors,0,115,0,prot-199192--105
fcfff492e00727b6,Stockholm,Helsingfors,0,255,0,prot-199192--105
fcfff492e00727b6,Stockholm,Helsingfors,0,277,0,prot-199192--105
fcfff492e00727b6,Stockholm,Helsingfors,0,292,0,prot-199192--105
fcfff492e00727b6,Stockholm,Helsingfors,0,297,1,prot-199192--105
fcfff492e00727b6,Stockholm,Helsingfors,0,297,3,prot-199192--105
fcfff492e00727b6,Stockholm,Helsingfors,0,301,0,prot-199192--105
fcfff492e00727b6,Stockholm,Helsingfors,0,303,0,prot-199192--105
