,filename,pattern,txt,person
0,prot-1970-höst-fk--37,0ba23c147c1beed8,"Herr SVEDBERG, ERIK, (s):",
0,prot-1970-höst-fk--37,f0d538d10bda4e34, LIDGARD (m):,
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr LIDGARD (m):,
0,prot-1970-höst-fk--37,0ba23c147c1beed8,"Herr SVEDBERG, ERIK, (s):",
0,prot-1970-höst-fk--37,f0d538d10bda4e34, DAHLBERG (s):,Birgitta Dahl
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr DAHLBERG (s):,Birgitta Dahl
0,prot-1970-höst-fk--37,f0d538d10bda4e34, NYMAN (fp):,
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr NYMAN (fp):,
0,prot-1970-höst-fk--37,f0d538d10bda4e34, MOSSBERGER (s):,Holger Mossberg
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr MOSSBERGER (s):,Holger Mossberg
0,prot-1970-höst-fk--37,f0d538d10bda4e34, NYMAN (fp):,
1,prot-1970-höst-fk--37,f0d538d10bda4e34, MOSSBERGER (s):,Holger Mossberg
2,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr NYMAN (fp):,
3,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr MOSSBERGER (s):,Holger Mossberg
0,prot-1970-höst-fk--37,f0d538d10bda4e34, ÖSTERDAHL (fp):,
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr ÖSTERDAHL (fp):,
0,prot-1970-höst-fk--37,f0d538d10bda4e34, WALLMARK (m):,
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr WALLMARK (m):,
0,prot-1970-höst-fk--37,f0d538d10bda4e34, WALLMARK (m):,
1,prot-1970-höst-fk--37,f0d538d10bda4e34, WALLMARK (m):,
2,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr WALLMARK (m):,
3,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr WALLMARK (m):,
0,prot-1970-höst-fk--37,f0d538d10bda4e34, BJÖRK (s):,William Björk
1,prot-1970-höst-fk--37,0ba23c147c1beed8,Herr BJÖRK (s):,William Björk
0,prot-1970-höst-fk--37,36cdc1fd812d7973,av herr Lindblad (fp) till herr statsrådet och chefen för kommunikationsdepartementet:,
0,prot-1970-höst-fk--37,36cdc1fd812d7973,av herr Werner (vpk) till herr statsrådet och chefen för finansdepartementet:,Mårten Werner
