name,gender,rownumber
Gustaf,masculine,285
Gustav,masculine,286
Gusti,feminine,287
Hadar,masculine,288
Hagar,feminine,289
Håkan,masculine,290
Hakon,masculine,291
Hampus,masculine,292
Hanif,masculine,293
Hanna,feminine,294
Hannah,feminine,295
Hans,masculine,296
Harald,masculine,297
Hardy,masculine,298
Harriet,feminine,299
Harry,masculine,300
Helén,feminine,301
Helena,feminine,302
Helene,feminine,303
Heléne,feminine,304
Helga,feminine,305
Helge,masculine,306
Heli,feminine,307
Helmer,masculine,308
Hemming,masculine,309
Henning,masculine,310
Henric,masculine,311
Henrik,masculine,312
Henry,masculine,313
Herbert,masculine,314
Herman,masculine,315
Hernfrid,masculine,316
Hilding,masculine,317
Hildur,feminine,318
Hillevi,feminine,319
Hjalmar,masculine,320
Holger,masculine,321
Hugo,masculine,322
Hulda,feminine,323
Ian,masculine,324
Ibrahim,masculine,325
Ida,feminine,326
Ilona,feminine,327
Ines,feminine,328
Ing-Britt,feminine,329
Ing-Marie,feminine,330
Inga,feminine,331
Inga-Britt,feminine,332
Ingbritt,feminine,333
Inge,feminine,334
Ingeborg,feminine,335
Ingebrekt,feminine,336
Ingegärd,feminine,337
Ingegerd,feminine,338
Ingela,feminine,339
Ingemar,masculine,340
Ingemund,masculine,341
Inger,feminine,342
Ingibjörg,feminine,343
Ingrid,feminine,344
Ingvar,masculine,345
Iréne,feminine,346
Iris,feminine,347
Isa,feminine,348
Isabella,feminine,349
Isak,masculine,350
Ismail,masculine,351
Israel,masculine,352
Ivan,masculine,353
Ivar,masculine,354
Iwar,masculine,355
Jabar,masculine,356
Jacob,masculine,357
Jakob,masculine,358
Jamal,masculine,359
James,masculine,360
Jan,masculine,361
Jan-Eric,masculine,362
Jan-Erik,masculine,363
Jan-Evert,masculine,364
Jan-Ivan,masculine,365
Jan-Olof,masculine,366
Janine,feminine,367
Janne,masculine,368
Jarl,masculine,369
Jasenko,masculine,370
Jean,masculine,371
Jeff,masculine,372
Jennie,feminine,373
Jenny,feminine,374
Jens,masculine,375
Jeppe,masculine,376
Jerker,masculine,377
Jerry,masculine,378
Jerzy,masculine,379
Jessica,feminine,380
Jessika,feminine,381
Jill,feminine,382
Jimmie,masculine,383
Jimmy,masculine,384
Joakim,masculine,385
Joar,masculine,386
Joe,masculine,387
Joel,masculine,388
Johan,masculine,389
Johan-Olof,masculine,390
Johanna,feminine,391
Johannes,masculine,392
John,masculine,393
John-Arvid,masculine,394
Johnny,masculine,395
Jon,masculine,396
Jonas,masculine,397
Jones,masculine,398
Jonny,masculine,399
Jöns,masculine,400
Jöran,masculine,401
Jörgen,masculine,402
Jörn,masculine,403
Josef,masculine,404
Josefin,feminine,405
Juan,masculine,406
Julia,feminine,407
Julius,masculine,408
Juno,feminine,409
Justus,masculine,410
Kadir,masculine,411
Kaj,masculine,412
Kalixtus,masculine,413
Kalle,masculine,414
Karin,feminine,415
Karl,masculine,416
Karl-Anders,masculine,417
Karl-Eric,masculine,418
Karl-Erik,masculine,419
Karl-Göran,masculine,420
Karl-Gösta,masculine,421
Karl-Gustaf,masculine,422
Karl-Gustav,masculine,423
Karolina,feminine,424
Katarina,feminine,425
Katja,feminine,426
Kenneth,masculine,427
Kent,masculine,428
Kenth,masculine,429
Kersti,feminine,430
Kerstin,feminine,431
Kerstin-Maria,feminine,432
Kew,masculine,433
Kia,feminine,434
Kjell,masculine,435
Kjell-Arne,masculine,436
Kjell-Erik,masculine,437
Kjell-Olof,masculine,438
Knut,masculine,439
Krister,masculine,440
Kristina,feminine,441
Kristoffer,masculine,442
Kurt,masculine,443
Lage,masculine,444
Lahja,feminine,445
Laila,feminine,446
Larry,masculine,447
Lars,masculine,448
Lars-Åke,masculine,449
Lars-Arne,masculine,450
Lars-Axel,masculine,451
Lars-Erik,masculine,452
Lars-Ingvar,masculine,453
Lars-Ivar,masculine,454
Lars-Olof,masculine,455
Lars-Ove,masculine,456
Larz,masculine,457
Laur,masculine,458
Lawen,masculine,459
Leif,masculine,460
Leila,feminine,461
Lena,feminine,462
Lennart,masculine,463
Leo,masculine,464
Leonard,masculine,465
Liisa,feminine,466
Lilian,feminine,467
Lilly,feminine,468
Lina,feminine,469
Linda,feminine,470
Linnea,feminine,471
Linnéa,feminine,472
Linus,masculine,473
Lisa,feminine,474
Lisbet,feminine,475
Lisbeth,feminine,476
Lise,feminine,477
Liselott,feminine,478
Liselotte,feminine,479
Liza-Maria,feminine,480
Lola,feminine,481
Lorena,feminine,482
Lotta,feminine,483
Louise,feminine,484
Lucas,masculine,485
Luciano,masculine,486
Ludvig,masculine,487
Ludwig,masculine,488
Mac,masculine,489
Magdalena,feminine,490
Maggi,feminine,491
Magnus,masculine,492
Maj,feminine,493
Maj-Britt,feminine,494
Maj-Inger,feminine,495
Maj-Lis,feminine,496
Maja,feminine,497
Majléne,feminine,498
Malin,feminine,499
Malkolm,masculine,500
Malte,masculine,501
Manfred,masculine,502
Manne,masculine,503
Måns,masculine,504
Marco,masculine,505
Margareta,feminine,506
Margaretha,feminine,507
Margit,feminine,508
Margitta,feminine,509
Margó,feminine,510
Margot,feminine,511
Margret,feminine,512
Maria,feminine,513
Mariann,feminine,514
Marianne,feminine,515
Marie,feminine,516
Marie-Ann,feminine,517
Marie-Louise,feminine,518
Marietta,feminine,519
Marina,feminine,520
Marita,feminine,521
Markus,masculine,522
Marlene,feminine,523
Marléne,feminine,524
Marta,feminine,525
Märta,feminine,526
Mårten,masculine,527
Martin,masculine,528
Martina,feminine,529
Mary,feminine,530
Maryam,feminine,531
Matheus,masculine,532
Mathias,masculine,533
Matilda,feminine,534
Mats,masculine,535
Matteus,masculine,536
Mattias,masculine,537
Matz,masculine,538
Maud,feminine,539
Mauricio,masculine,540
Mauritz,masculine,541
Max,masculine,542
Meeri,feminine,543
Mehmet,masculine,544
Metin,masculine,545
Mia,feminine,546
Michael,masculine,547
Mikael,masculine,548
Mikaela,feminine,549
Momodou,masculine,550
Mona,feminine,551
Monica,feminine,552
Morgan,masculine,553
My,feminine,554
Nalin,masculine,555
Nancy,feminine,556
Natanael,masculine,557
Nelly,feminine,558
Nestor,masculine,559
Nic,masculine,560
Niclas,masculine,561
Niels,masculine,562
Niklas,masculine,563
Nikos,masculine,564
Nils,masculine,565
Nils-Eric,masculine,566
Nils-Erik,masculine,567
Nils-Göran,masculine,568
Nils-Olof,masculine,569
Nina,feminine,570
Nooshi,feminine,571
Noria,feminine,572
Nyamko,feminine,573
Odd,masculine,574
Ola,masculine,575
Olaus,masculine,576
Olivia,feminine,577
Ollas,feminine,578
Olle,masculine,579
Olof,masculine,580
Olov,masculine,581
Oscar,masculine,582
Oskar,masculine,583
Ossian,masculine,584
Östen,masculine,585
Oswald,masculine,586
Otto,masculine,587
Ove,masculine,588
Owe,masculine,589
Paavo,masculine,590
Pål,masculine,591
Pär,masculine,592
Pär-Axel,masculine,593
Patrick,masculine,594
Patrik,masculine,595
Paul,masculine,596
Paula,feminine,597
Pavel,masculine,598
Pehr,masculine,599
Penilla,feminine,600
Per,masculine,601
Per-Arne,masculine,602
Per-Axel,masculine,603
Per-Eric,masculine,604
Per-Erik,masculine,605
Per-Hjalmar,masculine,606
Per-Ingvar,masculine,607
Per-Ola,masculine,608
Per-Olof,masculine,609
Per-Richard,masculine,610
Per-Samuel,masculine,611
Peter,masculine,612
Petrus,masculine,613
Petter,masculine,614
Phia,feminine,615
Pia,feminine,616
Pierre,masculine,617
Pontus,masculine,618
Primus,masculine,619
Pyry,masculine,620
Ragnar,masculine,621
Ragnhild,feminine,622
Ragnwi,feminine,623
Raimo,masculine,624
Ralf,masculine,625
Raoul,masculine,626
Rasmus,masculine,627
Raul,masculine,628
Rebecka,feminine,629
Reinhold,masculine,630
Renée,feminine,631
Reynoldh,masculine,632
Reza,masculine,633
Richard,masculine,634
Rickard,masculine,635
Rigmor,feminine,636
Rikard,masculine,637
Rinaldo,masculine,638
Robert,masculine,639
Roger,masculine,640
Roine,masculine,641
Roland,masculine,642
Rolf,masculine,643
Ronny,masculine,644
Rosa,feminine,645
Rosa-Lill,feminine,646
Rose-Marie,feminine,647
Rosita,feminine,648
Rossana,feminine,649
Roy,masculine,650
Roza,feminine,651
Ruben,masculine,652
Rudolf,masculine,653
Runar,masculine,654
Rune,masculine,655
Ruth,feminine,656
Said,masculine,657
Saila,feminine,658
Salli,feminine,659
Sam,masculine,660
Samuel,masculine,661
Sanne,feminine,662
Sara,feminine,663
Sara-Lena,feminine,664
Serkan,masculine,665
Sermin,feminine,666
Set,masculine,667
Seth,masculine,668
Shadiye,feminine,669
Sigfrid,masculine,670
Sigge,masculine,671
Signe,feminine,672
Sigrid,feminine,673
Sigurd,masculine,674
Sigvard,masculine,675
Sinikka,feminine,676
Siri,feminine,677
Siv,feminine,678
Sivert,masculine,679
Siw,feminine,680
Sixten,masculine,681
Sofia,feminine,682
Solveig,feminine,683
Sonia,feminine,684
Sonja,feminine,685
Sören,masculine,686
Sotiris,masculine,687
Staffan,masculine,688
Stefan,masculine,689
Stellan,masculine,690
Sten,masculine,691
Sten-Ove,masculine,692
Stig,masculine,693
Stina,feminine,694
Sture,masculine,695
Sune,masculine,696
Susanna,feminine,697
Susanne,feminine,698
Suzanne,feminine,699
Svante,masculine,700
Svea,feminine,701
Sven,masculine,702
Sven-Åke,masculine,703
Sven-Erik,masculine,704
Sven-Göran,masculine,705
Sven-Gösta,masculine,706
Sven-Olof,masculine,707
Sven-Olov,masculine,708
Sven-Otto,masculine,709
Svening,masculine,710
Sverker,masculine,711
Sverre,masculine,712
Swen,masculine,713
Sylvia,feminine,714
Tage,masculine,715
Tanja,feminine,716
Tasso,masculine,717
Tekla,feminine,718
Teodor,masculine,719
Teres,feminine,720
Teresa,feminine,721
Thage,masculine,722
Theodor,masculine,723
Thomas,masculine,724
Thoralf,masculine,725
Thorbjörn,masculine,726
Thore,masculine,727
Thorle,masculine,728
Thorsten,masculine,729
Thorvald,masculine,730
Thorwald,masculine,731
Thure,masculine,732
Thyra,feminine,733
Tina,feminine,734
Tobias,masculine,735
Tom,masculine,736
Tomas,masculine,737
Tommy,masculine,738
Tone,feminine,739
Tony,masculine,740
Tor,masculine,741
Torbjörn,masculine,742
Tore,masculine,743
Torgil,masculine,744
Torgny,masculine,745
Torkel,masculine,746
Torkild,masculine,747
Torsten,masculine,748
Ture,masculine,749
Tuve,masculine,750
Tycho,masculine,751
Tyra,feminine,752
Uddo,masculine,753
Ulf,masculine,754
Ulla,feminine,755
Ulla-Britt,feminine,756
Ulrica,feminine,757
Ulrik,masculine,758
Ulrika,feminine,759
Uno,masculine,760
Urban,masculine,761
Valdemar,masculine,762
Valdo,masculine,763
Valerius,masculine,764
Valfrid,masculine,765
Valter,masculine,766
Värner,masculine,767
Vasiliki,feminine,768
Verner,masculine,769
Veronica,feminine,770
Victor,masculine,771
Viktor,masculine,772
Vilhelm,masculine,773
Viola,feminine,774
Vira,feminine,775
Viviann,feminine,776
Walburga,feminine,777
Waldemar,masculine,778
Walter,masculine,779
Werner,masculine,780
Widar,masculine,781
Wiggo,masculine,782
Wiking,masculine,783
Wiktor,masculine,784
Wilhelm,masculine,785
William,masculine,786
Willy,masculine,787
Wivi-Anne,feminine,788
Wiwi-Anne,feminine,789
Yasmine,feminine,790
Yilmaz,masculine,791
Ylva,feminine,792
Yngve,masculine,793
Yvonne,feminine,794
Zäta,feminine,795
Zeth,masculine,796
