pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,22,1,1,prot-1922--fk--35
fcfff492e00727b6,Stockholm,Helsingfors,47,5,1,prot-1922--fk--35
fcfff492e00727b6,Stockholm,Helsingfors,52,2,2,prot-1922--fk--35
fcfff492e00727b6,Stockholm,Helsingfors,73,3,0,prot-1922--fk--35
fcfff492e00727b6,Stockholm,Helsingfors,140,2,1,prot-1922--fk--35
fcfff492e00727b6,Stockholm,Helsingfors,141,3,0,prot-1922--fk--35
fcfff492e00727b6,Stockholm,Helsingfors,145,13,0,prot-1922--fk--35
