,filename,pattern,txt,person
0,prot-198283--77,f0d538d10bda4e34, 5 JÖRGEN ULLENHAG (fp):,Jörgen Ullenhag
0,prot-198283--77,f0d538d10bda4e34, 7 JÖRGEN ULLENHAG (fp):,Jörgen Ullenhag
0,prot-198283--77,36cdc1fd812d7973,av Börje Stensson (fp) till jordbruksministern om effekterna av höjda skogsvårdsavgifter:,Börje Stensson
1,prot-198283--77,f0d538d10bda4e34, 9 JÖRGEN ULLENHAG (fp):,Jörgen Ullenhag
0,prot-198283--77,36cdc1fd812d7973,av Rune Backlund (c) till industriministern om regionala utvecklingsinsatser i Vaggeryd:,Rune Backlund
1,prot-198283--77,36cdc1fd812d7973,av Nils Carlshamre (m) till socialministern om extra pensionshöjning för statsoch kommunalpensionärer:,Nils Carlshamre
