,filename,pattern,txt,person
0,prot-198788--128,f0d538d10bda4e34, 3 GULLAN LINDBLAD (m):,Gullan Lindblad
0,prot-198788--128,f0d538d10bda4e34, 4 BARBRO SANDBERG (fp):,Barbro Sandberg
0,prot-198788--128,f0d538d10bda4e34, 5 RUNE BACKLUND (c):,Rune Backlund
0,prot-198788--128,f0d538d10bda4e34, 6 MARGÖ INGVARDSSON (vpk):,Margó Ingvardsson
0,prot-198788--128,f0d538d10bda4e34, 7 LENA ÖHRSVIK (s):,Lena Öhrsvik
0,prot-198788--128,d84fc8cb7cb8f0d1, 8 GULLAN LINDBLAD (m) replik:,Gullan Lindblad
1,prot-198788--128,d84fc8cb7cb8f0d1, 9 BARBRO SANDBERG (fp) replik:,Barbro Sandberg
0,prot-198788--128,d84fc8cb7cb8f0d1, 10 RUNE BACKLUND (c) replik:,Rune Backlund
0,prot-198788--128,d84fc8cb7cb8f0d1, 11 MARGÖ INGVARDSSON (vpk) replik:,Margó Ingvardsson
0,prot-198788--128,d84fc8cb7cb8f0d1, 12 LENA ÖHRSVIK (s) replik:,Lena Öhrsvik
0,prot-198788--128,d84fc8cb7cb8f0d1, 13 RUNE BACKLUND (c) replik:,Rune Backlund
1,prot-198788--128,d84fc8cb7cb8f0d1, 14 MARGÖ INGVARDSSON (vpk) replik:,Margó Ingvardsson
0,prot-198788--128,d84fc8cb7cb8f0d1, 15 GULLAN LINDBLAD (m) replik:,Gullan Lindblad
0,prot-198788--128,d84fc8cb7cb8f0d1, 16 LENA ÖHRSVIK (s) replik:,Lena Öhrsvik
0,prot-198788--128,f0d538d10bda4e34, 18 GULLAN LINDBLAD (m):,Gullan Lindblad
1,prot-198788--128,f0d538d10bda4e34, 19 RUNE BACKLUND (c):,Rune Backlund
0,prot-198788--128,f0d538d10bda4e34, 20 MARGÖ INGVARDSSON (vpk):,Margó Ingvardsson
0,prot-198788--128,f0d538d10bda4e34, 22 GULLAN LINDBLAD (m):,Gullan Lindblad
1,prot-198788--128,f0d538d10bda4e34, 23 RUNE BACKLUND (c):,Rune Backlund
0,prot-198788--128,f0d538d10bda4e34, 24 MARGÖ INGVARDSSON (vpk):,Margó Ingvardsson
1,prot-198788--128,f0d538d10bda4e34, 26 GULLAN LINDBLAD (m):,Gullan Lindblad
0,prot-198788--128,f0d538d10bda4e34, 27 RUNE BACKLUND (c):,Rune Backlund
0,prot-198788--128,f0d538d10bda4e34, 28 ANITA BRÅKENHIELM (m):,Anita Bråkenhielm
0,prot-198788--128,f0d538d10bda4e34, 29 INGEMAR ELIASSON (fp):,Ingemar Eliasson
0,prot-198788--128,f0d538d10bda4e34, 30 PÄR GRANSTEDT (c):,Pär Granstedt
0,prot-198788--128,f0d538d10bda4e34, 31 BERTIL MÅBRINK (vpk):,Bertil Måbrink
0,prot-198788--128,f0d538d10bda4e34, 32 STURE ERICSON (s):,Sture Ericson
0,prot-198788--128,d84fc8cb7cb8f0d1, 33 ANITA BRÅKENHIELM (m) replik:,Anita Bråkenhielm
1,prot-198788--128,d84fc8cb7cb8f0d1, 34 INGEMAR ELIASSON (fp) replik:,Ingemar Eliasson
0,prot-198788--128,d84fc8cb7cb8f0d1, 35 BERTIL MÅBRINK (vpk) replik:,Bertil Måbrink
1,prot-198788--128,d84fc8cb7cb8f0d1, 36 STURE ERICSON (s) replik:,Sture Ericson
0,prot-198788--128,d84fc8cb7cb8f0d1, 37 ANITA BRÅKENHIELM (m) replik:,Anita Bråkenhielm
0,prot-198788--128,d84fc8cb7cb8f0d1, 32 BERTIL MÅBRINK (vpk) replik:,Bertil Måbrink
1,prot-198788--128,d84fc8cb7cb8f0d1, 39 INGEMAR ELIASSON (fp) replik:,Ingemar Eliasson
0,prot-198788--128,d84fc8cb7cb8f0d1, 40 STURE ERICSON (s) replik:,Sture Ericson
0,prot-198788--128,d84fc8cb7cb8f0d1, 42 BERTIL MÅBRINK (vpk) replik:,Bertil Måbrink
1,prot-198788--128,d84fc8cb7cb8f0d1, 43 PÄR GRANSTEDT (c) replik:,Pär Granstedt
0,prot-198788--128,d84fc8cb7cb8f0d1, 44 ANITA BRÅKENHIELM (m) replik:,Anita Bråkenhielm
0,prot-198788--128,d84fc8cb7cb8f0d1, 45 INGEMAR ELIASSON (fp) replik:,Ingemar Eliasson
0,prot-198788--128,d84fc8cb7cb8f0d1, 47 ANITA BRÅKENHIELM (m) replik:,Anita Bråkenhielm
0,prot-198788--128,f0d538d10bda4e34, 50 KARIN FALKMER (m):,
0,prot-198788--128,f0d538d10bda4e34, 52 ALF SVENSSON (c):,Alf Svensson
0,prot-198788--128,f0d538d10bda4e34, 54 SIW PERSSON (fp):,Siw Persson
0,prot-198788--128,f0d538d10bda4e34, 56 SIW PERSSON (fp):,Siw Persson
