pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
7090e83bd0c0a3da,        , ,0,0,0,prot-1961--fk--20
7090e83bd0c0a3da,     , ,0,2,0,prot-1961--fk--20
7090e83bd0c0a3da,   , ,0,4,0,prot-1961--fk--20
fcfff492e00727b6,Stockholm,Helsingfors,1,1,6,prot-1961--fk--20
7090e83bd0c0a3da,   , ,3,9,0,prot-1961--fk--20
7090e83bd0c0a3da,    , ,3,12,0,prot-1961--fk--20
7090e83bd0c0a3da,   , ,3,18,0,prot-1961--fk--20
7090e83bd0c0a3da,      , ,3,22,0,prot-1961--fk--20
7090e83bd0c0a3da,      , ,3,24,0,prot-1961--fk--20
7090e83bd0c0a3da,   , ,3,33,0,prot-1961--fk--20
7090e83bd0c0a3da,    , ,3,36,0,prot-1961--fk--20
fcfff492e00727b6,Stockholm,Helsingfors,4,19,0,prot-1961--fk--20
fcfff492e00727b6,Stockholm,Helsingfors,19,7,0,prot-1961--fk--20
fcfff492e00727b6,Stockholm,Helsingfors,49,11,0,prot-1961--fk--20
fcfff492e00727b6,Stockholm,Helsingfors,61,3,2,prot-1961--fk--20
fcfff492e00727b6,Stockholm,Helsingfors,92,5,0,prot-1961--fk--20
