pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,0,12,0,prot-1940-urtima-ak--6
fcfff492e00727b6,Stockholm,Helsingfors,2,10,1,prot-1940-urtima-ak--6
fcfff492e00727b6,Stockholm,Helsingfors,5,8,0,prot-1940-urtima-ak--6
fcfff492e00727b6,Stockholm,Helsingfors,12,5,0,prot-1940-urtima-ak--6
fcfff492e00727b6,Stockholm,Helsingfors,12,8,0,prot-1940-urtima-ak--6
fcfff492e00727b6,Stockholm,Helsingfors,23,1,4,prot-1940-urtima-ak--6
fcfff492e00727b6,Stockholm,Helsingfors,34,1,2,prot-1940-urtima-ak--6
fcfff492e00727b6,Stockholm,Helsingfors,36,1,1,prot-1940-urtima-ak--6
fcfff492e00727b6,Stockholm,Helsingfors,37,2,0,prot-1940-urtima-ak--6
fcfff492e00727b6,Stockholm,Helsingfors,38,1,2,prot-1940-urtima-ak--6
fcfff492e00727b6,Stockholm,Helsingfors,47,10,0,prot-1940-urtima-ak--6
