,Riksdagsledamot,Parti,Valkrets,chamber,start,end,Yrke
87,Eskils Hans Hansson i Rättvik,f. 1857,Norra valkretsen,Andra kammaren,1921,1921,
88,Ewald Lindmark,h,Norra valkretsen,Andra kammaren,1921,1921,
89,F.V. Thorsson,s,Södra valkretsen,Andra kammaren,1921,1921,
90,Fabian Månsson,f. 1872,Gästriklands valkrets,Andra kammaren,1921,1921,
91,Felix Hamrin,l,Västra valkretsen,Andra kammaren,1921,1921,
92,Frans Axel Lagerquist i Malmbäck,b,Östra valkretsen,Andra kammaren,1921,1921,
93,Frans Ericson i Boxholm,f. 1879,Södra valkretsen,Andra kammaren,1921,1921,
94,Fredrik Aarnseth,f. 1872,Västra valkretsen,Andra kammaren,1921,1921,
95,Fredrik Block,f. 1867,Första valkretsen,Andra kammaren,1921,1921,
96,Fritz Kaijser,f. 1868,Ångermanlands södra valkrets,Andra kammaren,1921,1921,
97,Gerhard Strindlund,bf,Ångermanlands södra valkrets,Andra kammaren,1921,1921,
98,Gottfrid Karlsson i Vadstena,f. 1882,Södra valkretsen,Andra kammaren,1921,1921,
99,Gustaf Adolf Björkman,f. 1871,Norrköping-Linköpings valkrets,Andra kammaren,1921,1921,
100,Gustaf Andersson,l,Västra valkretsen,Andra kammaren,1921,1921,
101,Gustaf Flognfält,f. 1872,Västra valkretsen,Andra kammaren,1921,1921,
102,Gustaf Nilson i Vibberbo,f. 1860,Västra valkretsen,Andra kammaren,1921,1921,
103,Gustaf Olsson i Ramsta,f. 1867,Södra valkretsen,Andra kammaren,1921,1921,
104,Gustav Hansson i Gårda,f. 1878,Södra valkretsen,Andra kammaren,1921,1921,
105,Gustav Johansson (senare Hallagård),bf,Södra valkretsen,Andra kammaren,1921,1921,
106,Harald Hallén,s,Norra valkretsen,Andra kammaren,1921,1921,
107,Helge Bäcklund,f. 1880,Södra valkretsen,Andra kammaren,1921,1921,
108,Henrik Andersson,jordbrukarnas riksförbund,Norra valkretsen,Andra kammaren,1921,1921,
109,Herman Andersson i Grimbo,jordbrukarnas riksförbund,Södra valkretsen,Andra kammaren,1921,1921,
