,Riksdagsledamot,Parti,Valkrets,chamber,start,end,Yrke
2080,Ola Isacsson,s,Kristianstads län,Andra kammaren,1937,1940,
2081,Ola Jeppsson,fp,Blekinge län,Andra kammaren,1937,1940,
2082,Olivia Nordgren,s,Malmöhus län,Andra kammaren,1937,1940,
2083,Olof Andersson i Höör,s (avled 1938),Malmöhus län,Andra kammaren,1937,1940,
2084,Olof Andersson i Malmö,s,Fyrstadskretsen,Andra kammaren,1937,1940,
2085,Olof Nilsson i Göteborg,s,Göteborgs stad,Andra kammaren,1937,1940,
2086,Oscar Bæckman,fp,Stockholms stad,Andra kammaren,1937,1940,
2087,Oscar Carlström,fp,Jönköpings län,Andra kammaren,1937,1940,
2088,Oscar Dahlbäck,fp,Jönköpings län,Andra kammaren,1937,1940,
2089,Oscar Johanson,fp,Jönköpings län,Andra kammaren,1937,1940,
2090,Oscar Lövgren,s,Norrbottens län,Andra kammaren,1937,1940,
2091,Oscar Malmborg,fp (1937),Skaraborgs län,Andra kammaren,1937,1940,
2092,Oscar Nolin,h,Kronobergs län,Andra kammaren,1937,1940,
2093,Oscar Osberg,lib-fp,Göteborgs och Bohus läns landstingsområde,Andra kammaren,1937,1940,
2094,Oscar Tornegård,bf,Kalmar län,Andra kammaren,1937,1940,
2095,Oscar Werner,bf,Värmlands län,Andra kammaren,1937,1940,
2096,Oscar Åkerström,s,Västerbottens län,Andra kammaren,1937,1940,
2097,Otto Holmdahl,h,Stockholms stad,Andra kammaren,1937,1940,
2098,Otto Magnusson,h,Kronobergs län,Andra kammaren,1937,1940,
2099,Otto Silfverbrand,h,Norrbottens län,Andra kammaren,1937,1940,
2100,Otto Wallén,bf,Stockholms län,Andra kammaren,1937,1940,
2101,Per Albin Hansson,s,Stockholms stad,Andra kammaren,1937,1940,
2102,Per Edvin Sköld,s,Malmöhus län,Andra kammaren,1937,1940,
2103,Per Leander Persson i Undersvik,f. 1889,Gävleborgs län,Andra kammaren,1937,1940,
2104,Per Persson i Norrby,bf,Gävleborgs län,Andra kammaren,1937,1940,
2105,Ragnar Barnekow,godsägare,Kristianstads län,Andra kammaren,1937,1940,
2106,Ragnar Lundqvist,h,Stockholms län,Andra kammaren,1937,1940,
2107,Ragnar Persson,s,Hallands län,Andra kammaren,1937,1940,
2108,Robert Jansson,s,Kopparbergs län,Andra kammaren,1937,1940,
2109,Ruth Gustafson,s,Stockholms stad,Andra kammaren,1937,1940,
2110,Samuel Hedlund,h,Jämtlands län,Andra kammaren,1937,1940,
2111,Sigurd Lindholm,s,Gävleborgs län,Andra kammaren,1937,1940,
2112,Sigvard Cruse,s,Stockholms stad,Andra kammaren,1937,1940,
2113,Sigvard Ohlsson,s,Kalmar län,Andra kammaren,1937,1940,
2114,Solveig Rönn-Christiansson,k,Göteborgs stad,Andra kammaren,1937,1940,
2115,Stig Janson,h,Södermanlands län,Andra kammaren,1937,1940,
2116,Sven Andersson i Vigelsbo,bf,Västmanlands län,Andra kammaren,1937,1940,
2117,Sven Johansson,h,Kalmar län,Andra kammaren,1937,1940,
2118,Sven Lundberg,f. 1889,Fyrstadskretsen,Andra kammaren,1937,1940,
2119,Sven Olsson i Labbemåla,fp,Östergötlands län,Andra kammaren,1937,1940,
2120,Tage Erlander,s,Fyrstadskretsen,Andra kammaren,1937,1940,
2121,Theodor Gardell,bf,Gotlands län,Andra kammaren,1937,1940,
2122,Thorvald Ekdahl,s,Kristianstads län,Andra kammaren,1937,1940,
2123,Thorwald Bergquist,fp,Västmanlands län,Andra kammaren,1937,1940,
2124,Tor Wolgast,bf,Blekinge län,Andra kammaren,1937,1940,
2125,Torgil von Seth,h,Jönköpings län,Andra kammaren,1937,1940,
2126,Torsten Henriksson,h,Stockholms stad,Andra kammaren,1937,1940,
2127,Torsten Lundell,h,Kalmar län,Andra kammaren,1937,1940,
2128,Uddo Jacobson,s,Västerbottens län,Andra kammaren,1937,1940,
2129,Verner Hedlund,s,Jämtlands län,Andra kammaren,1937,1940,
2130,Verner Karlsson,s,Kopparbergs län,Andra kammaren,1937,1940,
2131,Victor Mattsson,bf,Kronobergs län,Andra kammaren,1937,1940,
2132,Viktor Herou,k,Gävleborgs län,Andra kammaren,1937,1940,
2133,Viktor Sandström,h,Västernorrlands län,Andra kammaren,1937,1940,
2134,Vilhelm Lundstedt,s,Uppsala län,Andra kammaren,1937,1940,
2135,Walter Sundström,s,Skaraborgs län,Andra kammaren,1937,1940,
2136,Wiktor Mårtensson,s,Göteborgs och Bohus läns landstingsområde,Andra kammaren,1937,1940,
2137,Wilhelm Annér,fp,Jämtlands län,Andra kammaren,1937,1940,
2138,Zäta Höglund,s,Stockholms stad,Andra kammaren,1937,1940,
2139,ersatt av: Carl Evald Magnusson i Näsviken,s,Gävleborgs län,Andra kammaren,1937,1940,
2140,ersatt av: Frans Hansson,h,Göteborgs och Bohus läns landstingsområde,Andra kammaren,1937,1940,
2141,ersatt av: Gustaf Edvard Lundgren,f. 1882 (från 1939),Malmöhus län,Andra kammaren,1937,1940,
2142,ersatt av: Herbert Hermansson,bf (från 1939),Göteborgs och Bohus läns landstingsområde,Andra kammaren,1937,1940,
2143,ersatt av: Manfred Fredberg,fp (från 1938),Skaraborgs län,Andra kammaren,1937,1940,
2144,ersatt av: Märta Öberg,s (från 1938),Göteborgs stad,Andra kammaren,1937,1940,
2145,ersatt av: Åke Olofsson,s (från 1938),Malmöhus län,Andra kammaren,1937,1940,
2146,ersatt av:Andreas Nilsson i Norrlångträsk,fp (från 1939),Västerbottens län,Andra kammaren,1937,1940,
2147,Åke Holmbäck,fp,Uppsala län,Andra kammaren,1937,1940,
2148,Adolf Lindgren,f. 1864,Örebro län,Första kammaren,1937,1937,
2149,Albert Bergström,f. 1869,Östergötlands län med Norrköpings stad,Första kammaren,1937,1937,
2150,Albert Forslund,f. 1881,Stockholms län och Uppsala län,Första kammaren,1937,1937,
2151,Alexander Nilsson i Fredriksfält,f. 1876,Blekinge län och Kristianstads län,Första kammaren,1937,1937,
2152,Alfred Andersson i Bussjö,f. 1881,Malmöhus län,Första kammaren,1937,1937,
2153,Allan Holstensson,f. 1878,Jönköpings län,Första kammaren,1937,1937,
2154,Anders Andersson i Markaryd,f. 1871,Kronobergs och Hallands län,Första kammaren,1937,1937,
2155,Anders Johan Bärg,s,Södermanlands och Västmanlands län,Första kammaren,1937,1937,
2156,Anders Olof Frändén,f. 1866,Västernorrlands län och Jämtlands län,Första kammaren,1937,1937,
2157,Anders Sundvik,s,Kopparbergs län,Första kammaren,1937,1937,
2158,Anton Pettersson,f. 1879,Blekinge län och Kristianstads län,Första kammaren,1937,1937,
2159,Arthur Heiding,bf,Kalmar län och Gotlands län,Första kammaren,1937,1937,
2160,August Ernfors (tidigare Eriksson),f. 1864,Kopparbergs län,Första kammaren,1937,1937,
2161,August Wilhelm Rydberg,f. 1869,Stockholms län och Uppsala län,Första kammaren,1937,1937,
2162,Axel Leander,f. 1888,Malmöhus län,Första kammaren,1937,1937,
2163,Axel Löfvander,bf,Malmöhus län,Första kammaren,1937,1937,
2164,Axel Mannerskantz,h,Kalmar län och Gotlands län,Första kammaren,1937,1937,
2165,Axel Nylander,h,Älvsborgs län,Första kammaren,1937,1937,
2166,Axel Roos,f,Malmöhus län,Första kammaren,1937,1937,
2167,Bernhard Nilsson i Landeryd,h,Jönköpings län,Första kammaren,1937,1937,
2168,Bo von Stockenström,f,Södermanlands och Västmanlands län,Första kammaren,1937,1937,
2169,Carl Alger Härdin,f. 1887,Södermanlands och Västmanlands län,Första kammaren,1937,1937,
2170,Carl Bengtsson,h,Älvsborgs län,Första kammaren,1937,1937,
2171,Carl Dahlström,f. 1877,Södermanlands och Västmanlands län,Första kammaren,1937,1937,
2172,Carl Eriksson i Ljusdal,f. 1881,Gävleborgs län med Gävle stad,Första kammaren,1937,1937,
2173,Carl Forssell,h,Stockholms stad,Första kammaren,1937,1937,
2174,Carl Fredrik Carlström,f. 1882,Västerbottens län och Norrbottens län,Första kammaren,1937,1937,
2175,Carl Lindhagen,s,Västernorrlands län och Jämtlands län,Första kammaren,1937,1937,
2176,Carl Lindmark,f. 1880,Västerbottens län och Norrbottens län,Första kammaren,1937,1937,
2177,Carl Primus Wahlmark,f. 1883,Stockholms län och Uppsala län,Första kammaren,1937,1937,
2178,Carl-Axel Reuterskiöld,f. 1870,Stockholms län och Uppsala län,Första kammaren,1937,1937,
2179,Charles Lindley,s,Stockholms stad,Första kammaren,1937,1937,
2180,David Hansén,f,Västerbottens län och Norrbottens län,Första kammaren,1937,1937,
2181,David Norman,f. 1887,Södermanlands och Västmanlands län,Första kammaren,1937,1937,
2182,David Pettersson i Bjälbo,h,Östergötlands län med Norrköpings stad,Första kammaren,1937,1937,
2183,Edgar Sjödahl,s,Göteborgs stad,Första kammaren,1937,1937,
2184,Edvard Björnsson,f. 1878,Älvsborgs län,Första kammaren,1937,1937,
2185,Edwin Berling,f. 1881,Malmöhus län,Första kammaren,1937,1937,
2186,Eilif Sylwan,h,Malmöhus län,Första kammaren,1937,1937,
2187,Ejnar Lindbärg,s,Kopparbergs län,Första kammaren,1937,1937,
2188,Eliel Löfgren,f,Stockholms stad,Första kammaren,1937,1937,
2189,Elof Andersson i Fältenborg,f. 1873,Blekinge län och Kristianstads län,Första kammaren,1937,1937,
2190,Elof Hagberth,h,Malmöhus län,Första kammaren,1937,1937,
2191,Elon Andersson,f,Gävleborgs län med Gävle stad,Första kammaren,1937,1937,
2192,Emil Bjurström,f. 1874,Kopparbergs län,Första kammaren,1937,1937,
2193,Enar Berglund,f. 1888,Västernorrlands län och Jämtlands län,Första kammaren,1937,1937,
2194,Erik Anderson i Hägelåkra,f. 1870,Kalmar län och Gotlands län,Första kammaren,1937,1937,
2195,Erik von Heland,h,Södermanlands och Västmanlands län,Första kammaren,1937,1937,
2196,Ernst Klefbeck,s,Stockholms stad,Första kammaren,1937,1937,
2197,Ernst Svensson i Eskhult,f. 1880,Skaraborgs län,Första kammaren,1937,1937,
2198,Ernst Trygger,h,Stockholms stad,Första kammaren,1937,1937,
2199,Evert Jonsson,f. 1869,Västerbottens län och Norrbottens län,Första kammaren,1937,1937,
2200,Felix Hamrin,f,Jönköpings län,Första kammaren,1937,1937,
2201,Fredrik Ström,s,Stockholms stad,Första kammaren,1937,1937,
2202,Fritiof Gustafsson,h,Skaraborgs län,Första kammaren,1937,1937,
2203,Fritjof Ekman,s,Örebro län,Första kammaren,1937,1937,
2204,Georg Branting,s,Stockholms stad,Första kammaren,1937,1937,
2205,Gottfrid Karlsson,f. 1882,Östergötlands län med Norrköpings stad,Första kammaren,1937,1937,
2206,Gottfrid Karlsson i Gillberga,f. 1872,Örebro län,Första kammaren,1937,1937,
2207,Gunnar Myrdal,s,Kopparbergs län,Första kammaren,1937,1937,
2208,Gunnar Sanne,f. 1870,Göteborgs och Bohus län,Första kammaren,1937,1937,
2209,Gustaf Adolf Björkman,f. 1871,Östergötlands län med Norrköpings stad,Första kammaren,1937,1937,
2210,Gustaf Ehrnberg,f. 1867,Blekinge län och Kristianstads län,Första kammaren,1937,1937,
2211,Gustaf Heüman,s,Jönköpings län,Första kammaren,1937,1937,
2212,Gustaf Sederholm,h,Södermanlands och Västmanlands län,Första kammaren,1937,1937,
2213,Gustaf Strömberg,s,Värmlands län,Första kammaren,1937,1937,
2214,Gustaf Tamm,f. 1876,Södermanlands och Västmanlands län,Första kammaren,1937,1937,
2215,Gustav Björkman,h,Värmlands län,Första kammaren,1937,1937,
2216,Gustav Möller,s,Stockholms län och Uppsala län,Första kammaren,1937,1937,
2217,Gustav Velander,f. 1884,Västernorrlands län och Jämtlands län,Första kammaren,1937,1937,
2218,Gösta Rahmn,f. 1882,Göteborgs stad,Första kammaren,1937,1937,
2219,Hakon Sylvan,bf,Malmöhus län,Första kammaren,1937,1937,
2220,Harald Åkerberg,f. 1883,Örebro län,Första kammaren,1937,1937,
2221,Helge Bäcklund,f. 1880,Skaraborgs län,Första kammaren,1937,1937,
2222,Hemming Sten,s,Gävleborgs län med Gävle stad,Första kammaren,1937,1937,
2223,Herman Ericsson,s,Malmöhus län,Första kammaren,1937,1937,
2224,Hjalmar Hammarskjöld,h,Stockholms län och Uppsala län,Första kammaren,1937,1937,
2225,Israel Lagerfelt,h,Östergötlands län med Norrköpings stad,Första kammaren,1937,1937,
2226,Ivan Pauli,s,Jönköpings län,Första kammaren,1937,1937,
2227,Ivar Ekströmer,h,Kronobergs och Hallands län,Första kammaren,1937,1937,
2228,Ivar Englund,f. 1886,Kopparbergs län,Första kammaren,1937,1937,
2229,Jacob Hansson,f. 1878,Blekinge län och Kristianstads län,Första kammaren,1937,1937,
2230,Janne Walles,f. 1871,Västernorrlands län och Jämtlands län,Första kammaren,1937,1937,
2231,Johan Bergman,f,Värmlands län,Första kammaren,1937,1937,
2232,Johan Bernhard Johansson,h,Kronobergs och Hallands län,Första kammaren,1937,1937,
2233,Johan Johansson i Friggeråker,f. 1872,Älvsborgs län,Första kammaren,1937,1937,
2234,Johan Larsson i Örbyhus,f. 1877,Stockholms län och Uppsala län,Första kammaren,1937,1937,
2235,Johan Magnus Bäckström,f. 1876,Västerbottens län och Norrbottens län,Första kammaren,1937,1937,
2236,Johan Nilsson i Malmö,f. 1874,Malmöhus län,Första kammaren,1937,1937,
2237,Johan Nilsson i Skottlandshus,f. 1873,Blekinge län och Kristianstads län,Första kammaren,1937,1937,
2238,John Björck,f. 1881,Älvsborgs län,Första kammaren,1937,1937,
2239,John Gustavson,f. 1890,Göteborgs och Bohus län,Första kammaren,1937,1937,
2240,John Sandén,f. 1867,Värmlands län,Första kammaren,1937,1937,
2241,K.G. Westman,f. 1876,Östergötlands län med Norrköpings stad,Första kammaren,1937,1937,
2242,Karl Ivar Sköldén,f. 1880,Göteborgs och Bohus län,Första kammaren,1937,1937,
2243,Karl Johanson i Vännäs,f. 1881,Västerbottens län och Norrbottens län,Första kammaren,1937,1937,
2244,Karl Johansson,f. 1876,Skaraborgs län,Första kammaren,1937,1937,
2245,Karl Magnusson,s,Kalmar län och Gotlands län,Första kammaren,1937,1937,
2246,Karl Sandegård,f. 1880,Älvsborgs län,Första kammaren,1937,1937,
2247,Karl Schlyter,f. 1879,Värmlands län,Första kammaren,1937,1937,
2248,Karl Wilhelm Bodin,f. 1871,Värmlands län,Första kammaren,1937,1937,
2249,Karl Wistrand,h,Stockholms stad,Första kammaren,1937,1937,
2250,Knut Petersson,f. 1892,Göteborgs stad,Första kammaren,1937,1937,
2251,Lars Gunnar Bodin,f. 1872,Kalmar län och Gotlands län,Första kammaren,1937,1937,
2252,Leonard Hagström,f. 1881,Västernorrlands län och Jämtlands län,Första kammaren,1937,1937,
2253,Leonard Tjällgren,bf,Västernorrlands län och Jämtlands län,Första kammaren,1937,1937,
2254,Manne Asplund,f. 1872,Västerbottens län och Norrbottens län,Första kammaren,1937,1937,
2255,Martin Svensson i Kompersmåla,h,Kronobergs och Hallands län,Första kammaren,1937,1937,
2256,Mauritz Västberg,s,Västernorrlands län och Jämtlands län,Första kammaren,1937,1937,
2257,Nils Andersson i Östersund,f. 1891,Västernorrlands län och Jämtlands län,Första kammaren,1937,1937,
2258,Nils Gabrielsson,f. 1876,Västerbottens län och Norrbottens län,Första kammaren,1937,1937,
2259,Nils Holmström,f. 1884,Gävleborgs län med Gävle stad,Första kammaren,1937,1937,
2260,Nils Hörstadius,h,Älvsborgs län,Första kammaren,1937,1937,
2261,Nils Swartling,,Blekinge län och Kristianstads län,Första kammaren,1937,1937,
2262,Nils Wohlin,bf,Örebro län,Första kammaren,1937,1937,
2263,Olof Bergqvist,f. 1862,Västerbottens län och Norrbottens län,Första kammaren,1937,1937,
2264,Olof Carlsson,s,Stockholms stad,Första kammaren,1937,1937,
2265,Olof Olsson,s,Malmöhus län,Första kammaren,1937,1937,
2266,Oscar Danielsson,s,Stockholms län och Uppsala län,Första kammaren,1937,1937,
2267,Oscar Ericson i Oberga,f. 1866,Jönköpings län,Första kammaren,1937,1937,
2268,Oscar Olsson,f. 1877,Östergötlands län med Norrköpings stad,Första kammaren,1937,1937,
2269,Oskar Anshelm Nordborg,h,Göteborgs stad,Första kammaren,1937,1937,
2270,Oskar Hagman,s,Stockholms stad,Första kammaren,1937,1937,
2271,Otto Wangson,f. 1893,Göteborgs stad,Första kammaren,1937,1937,
2272,Per Andersson i Koldemo,f. 1876,Gävleborgs län med Gävle stad,Första kammaren,1937,1937,
2273,Per Granath,f. 1882,Gävleborgs län med Gävle stad,Första kammaren,1937,1937,
2274,Per Gustafsson i Benestad,f. 1880,Kronobergs och Hallands län,Första kammaren,1937,1937,
2275,Petrus Nilsson i Gränebo,f. 1881,Kalmar län och Gotlands län,Första kammaren,1937,1937,
2276,Pontus Sandström,f. 1875,Västerbottens län och Norrbottens län,Första kammaren,1937,1937,
2277,Rickard Lindström,s,Göteborgs stad,Första kammaren,1937,1937,
2278,Rickard Sandler,s,Gävleborgs län med Gävle stad,Första kammaren,1937,1937,
2279,Robert Berg,f. 1877,Blekinge län och Kristianstads län,Första kammaren,1937,1937,
2280,Ruben Wagnsson,s,Kalmar län och Gotlands län,Första kammaren,1937,1937,
2281,Rudolf Anderberg,s,Malmöhus län,Första kammaren,1937,1937,
2282,Sam Larsson,f. 1883,Västernorrlands län och Jämtlands län,Första kammaren,1937,1937,
2283,Sigfrid Hansson,f. 1884,Göteborgs och Bohus län,Första kammaren,1937,1937,
2284,Sten Stendahl,f. 1876,Stockholms stad,Första kammaren,1937,1937,
2285,Sven Larsson,f. 1883,Kronobergs och Hallands län,Första kammaren,1937,1937,
2286,Theodor Borell,h,Stockholms län och Uppsala län,Första kammaren,1937,1937,
2287,Theodor Nilsson,f. 1872,Göteborgs och Bohus län,Första kammaren,1937,1937,
2288,Torsten Ström,f. 1885,Skaraborgs län,Första kammaren,1937,1937,
2289,Ture Nerman,sp,Stockholms stad,Första kammaren,1937,1937,
2290,Tycho Colleen,h,Älvsborgs län,Första kammaren,1937,1937,
2291,Verner Andersson,f. 1887,Kronobergs och Hallands län,Första kammaren,1937,1937,
2292,Viktor Egnell,f. 1872,Skaraborgs län,Första kammaren,1937,1937,
2293,Viktor Larsson,s,Östergötlands län med Norrköpings stad,Första kammaren,1937,1937,
2294,Wilhelm Björck,s,Södermanlands och Västmanlands län,Första kammaren,1937,1937,
2295,Wilhelm Källman,s,Stockholms län och Uppsala län,Första kammaren,1937,1937,
2296,William Linder,s,Blekinge län och Kristianstads län,Första kammaren,1937,1937,
2297,Östen Undén,s,Värmlands län,Första kammaren,1937,1937,
2298,Abel Andersson,s,Jönköpings län,Andra kammaren,1941,1944,
2299,Abel Sundberg,s,Göteborgs stad,Andra kammaren,1941,1944,
2300,Adolf Wallentheim,s,Stockholms län,Andra kammaren,1941,1944,
2301,Adolv Olsson,s,Gävleborgs län,Andra kammaren,1941,1944,
2302,Alarik Hagård,h,Södra valkretsen,Andra kammaren,1941,1944,
2303,Albert Hermansson,s,Östergötlands län,Andra kammaren,1941,1944,
2304,Albert Larsson,h,Värmlands län,Andra kammaren,1941,1944,
2305,Alfred Andersson i Munka-Ljungby,s,Kristianstads län,Andra kammaren,1941,1944,
2306,Alfred Nilsson,fp,Malmöhus län,Andra kammaren,1941,1944,
2307,Algot Törnkvist,s,Blekinge län,Andra kammaren,1941,1944,
2308,Allan Andersson,s,Stockholms län,Andra kammaren,1941,1944,
2309,Allan Vougt,s,Fyrstadskretsen,Andra kammaren,1941,1944,
2310,Anders Andersson,f. 1878,Hallands län,Andra kammaren,1941,1944,
2311,Anders Hilding,fp,Gävleborgs län,Andra kammaren,1941,1944,
2312,Anders Paulsen,s,Malmöhus län,Andra kammaren,1941,1944,
2313,Anders Pettersson,bf,Hallands län,Andra kammaren,1941,1944,
2314,Andreas Nilsson i Norrlångträsk,f. 1883,Västerbottens län,Andra kammaren,1941,1944,
2315,Anna Lindqvist-Pettersson,s,Jämtlands län,Andra kammaren,1941,1944,
2316,Anton Björklund,s,Kristianstads län,Andra kammaren,1941,1944,
2317,Aron Gustafsson,bf,Skaraborgs län,Andra kammaren,1941,1944,
2318,Arthur Ryberg,bf,Södra valkretsen,Andra kammaren,1941,1944,
2319,Arthur Sköldin,s,Stockholms län,Andra kammaren,1941,1944,
2320,Arvid Hallberg,s,Kopparbergs län,Andra kammaren,1941,1944,
2321,Arvid Jonsson,bf,Kalmar län,Andra kammaren,1941,1944,
2322,Arvid Karlsson,h,Kristianstads län,Andra kammaren,1941,1944,
2323,August Danielsson,fp,Norra valkretsen,Andra kammaren,1941,1944,
2324,August Spångberg,s,Värmlands län,Andra kammaren,1941,1944,
2325,August Sävström,s,Gävleborgs län,Andra kammaren,1941,1944,
2326,Axel Fält,s,Skaraborgs län,Andra kammaren,1941,1944,
2327,Axel Hansson i Rubbestad,bf,Norra valkretsen,Andra kammaren,1941,1944,
2328,Axel Jansson,f. 1889,Örebro län,Andra kammaren,1941,1944,
2329,Axel Landgren,s,Malmöhus län,Andra kammaren,1941,1944,
2330,Axel Lindqvist,s,Hallands län,Andra kammaren,1941,1944,
2331,Axel Pehrsson-Bramstorp,bf,Malmöhus län,Andra kammaren,1941,1944,
2332,Bertil Andersson,s,Västmanlands län,Andra kammaren,1941,1944,
2333,Bertil von Friesen,fp,Göteborgs stad,Andra kammaren,1941,1944,
2334,Birger Andersson,f. 1909,Kalmar län,Andra kammaren,1941,1944,
2335,Birger Gezelius,h,Kopparbergs län,Andra kammaren,1941,1944,
2336,Björn Frithiofsson Holmgren,h,Blekinge län,Andra kammaren,1941,1944,
2337,Blenda Björck,s,Kristianstads län,Andra kammaren,1941,1944,
2338,Brynolf Stattin,h,Västernorrlands län,Andra kammaren,1941,1944,
2339,Carl Björling,fp,Värmlands län,Andra kammaren,1941,1944,
2340,Carl Hoppe,s,Östergötlands län,Andra kammaren,1941,1944,
2341,Carl Lindberg,s,Stockholms stad,Andra kammaren,1941,1944,
2342,Carl Olof Carlsson,bf,Bohuslän,Andra kammaren,1941,1944,
2343,Carl Petrus Olsson,s,Norra valkretsen,Andra kammaren,1941,1944,
2344,Conrad Jonsson,s,Södermanlands län,Andra kammaren,1941,1944,
2345,David Gustavson,s,Västmanlands län,Andra kammaren,1941,1944,
2346,David Larsson i Sätila,f. 1875,Södra valkretsen,Andra kammaren,1941,1944,
2347,Disa Västberg,s,Stockholms stad,Andra kammaren,1941,1944,
2348,Ebon Andersson,h,Stockholms stad,Andra kammaren,1941,1944,
2349,Ebon Andersson,s,Fyrstadskretsen,Andra kammaren,1941,1944,
2350,Edvard Thorell,h,Stockholms län,Andra kammaren,1941,1944,
2351,Edvin Gustafsson,s f. 1888,Jönköpings län,Andra kammaren,1941,1944,
2352,Einar Andersson,s,Södra valkretsen,Andra kammaren,1941,1944,
2353,Einar Johansson,s,Kalmar län,Andra kammaren,1941,1944,
2354,Einar Jonsson,s,Uppsala län,Andra kammaren,1941,1944,
2355,Einar Sjögren,f. 1887,Uppsala län,Andra kammaren,1941,1944,
2356,Elin Eriksson,s,Västmanlands län,Andra kammaren,1941,1944,
2357,Ellen Svedberg,s,Södermanlands län,Andra kammaren,1941,1944,
2358,Elof Ericsson,fp,Östergötlands län,Andra kammaren,1941,1944,
2359,Elof Hällgren,s,Blekinge län,Andra kammaren,1941,1944,
2360,Elof Lindberg,s,Västerbottens län,Andra kammaren,1941,1944,
2361,Elsa Johansson,s,Östergötlands län,Andra kammaren,1941,1944,
2362,Emanuel Birke,h,Stockholms län,Andra kammaren,1941,1944,
2363,Emil Andersson,s,Värmlands län,Andra kammaren,1941,1944,
2364,Emil Gustafson,bf,Kalmar län,Andra kammaren,1941,1944,
2365,Emil Olovson,s,Västmanlands län,Andra kammaren,1941,1944,
2366,Emil Petersson i Gäddvik,h,Norrbottens län,Andra kammaren,1941,1944,
2367,Eric Bladh,s,Fyrstadskretsen,Andra kammaren,1941,1944,
2368,Eric Hansson,f. 1880,Västerbottens län,Andra kammaren,1941,1944,
2369,Erik Brandt,s,Örebro län,Andra kammaren,1941,1944,
2370,Erik Fast,s,Jönköpings län,Andra kammaren,1941,1944,
2371,Erik Hagberg,h,Fyrstadskretsen,Andra kammaren,1941,1944,
2372,Erik Johansson,s,Bohuslän,Andra kammaren,1941,1944,
2373,Erik Larsson,f. 1898,Norra valkretsen,Andra kammaren,1941,1944,
2374,Erik Lundbom,s,Södermanlands län,Andra kammaren,1941,1944,
2375,Erik Norén,s,Västernorrlands län,Andra kammaren,1941,1944,
2376,Erik Nylander,h,Stockholms stad,Andra kammaren,1941,1944,
2377,Erik Olson,h,Göteborgs stad,Andra kammaren,1941,1944,
2378,Ernst Berg,s,Västernorrlands län,Andra kammaren,1941,1944,
2379,Ernst Eriksson,s,Stockholms stad,Andra kammaren,1941,1944,
2380,Ernst Hage,s,Norrbottens län,Andra kammaren,1941,1944,
2381,Ernst Staxäng (före 1939 Olsson),h,Bohuslän,Andra kammaren,1941,1944,
2382,Ernst Wigforss,s,Göteborgs stad,Andra kammaren,1941,1944,
2383,Ernst Åqvist,f. 1875,Örebro län,Andra kammaren,1941,1944,
2384,Eskil Eriksson,s,Stockholms län,Andra kammaren,1941,1944,
2385,Evald Ericsson,s,Kopparbergs län,Andra kammaren,1941,1944,
2386,Evert Sandberg,fp,Västerbottens län,Andra kammaren,1941,1944,
2387,Ewald Lindmark,f. 1885,Västerbottens län,Andra kammaren,1941,1944,
2388,Folke Kyling,h,Skaraborgs län,Andra kammaren,1941,1944,
2389,Frans Severin,s,Stockholms stad,Andra kammaren,1941,1944,
2390,Fredrik Sundström,s,Kopparbergs län,Andra kammaren,1941,1944,
2391,Fridolf Thapper,s,Östergötlands län,Andra kammaren,1941,1944,
2392,Fritz Persson,s,Kronobergs län,Andra kammaren,1941,1944,
2393,Gerard de Geer,fp,Värmlands län,Andra kammaren,1941,1944,
2394,Gerhard Strindlund,bf,Västernorrlands län,Andra kammaren,1941,1944,
2395,Gillis Olsson i Kullenbergstorp,bf,Malmöhus län,Andra kammaren,1941,1944,
2396,Gunnar Persson i Falla,h,Örebro län,Andra kammaren,1941,1944,
2397,Gustaf Andersson,s,Södermanlands län,Andra kammaren,1941,1944,
2398,Gustaf Andersson,fp,Kopparbergs län,Andra kammaren,1941,1944,
2399,Gustaf Arnemark,f. 1888,Stockholms stad,Andra kammaren,1941,1944,
2400,Gustaf Karlsson,f. 1889 (gick till första kammaren 1941),Bohuslän,Andra kammaren,1941,1944,
2401,Gustaf Larsson,s,Södermanlands län,Andra kammaren,1941,1944,
2402,Gustaf Nilsson,s,Värmlands län,Andra kammaren,1941,1944,
2403,Gustaf Pettersson (från 1945 Hellbacken),s,Kopparbergs län,Andra kammaren,1941,1944,
2404,Gustaf Rosander,s,Kronobergs län,Andra kammaren,1941,1944,
2405,Gustaf Svedman,h,Gotlands län,Andra kammaren,1941,1944,
2406,Gustav Andersson i Löbbo,bf (till 1942),Jönköpings län,Andra kammaren,1941,1944,
2407,Gustav Hallagård (tidigare Johanson),bf,Skaraborgs län,Andra kammaren,1941,1944,
2408,Gustav Holm,s,Kalmar län,Andra kammaren,1941,1944,
2409,Gustav Mosesson,fp,Stockholms län,Andra kammaren,1941,1944,
2410,Gustav Nilsson,h,Hallands län,Andra kammaren,1941,1944,
2411,Göran Pettersson,s,Örebro län,Andra kammaren,1941,1944,
2412,Gösta Andersson,s,Bohuslän,Andra kammaren,1941,1944,
2413,Gösta Bagge,h,Stockholms stad,Andra kammaren,1941,1944,
2414,Gösta Liedberg,h,Malmöhus län,Andra kammaren,1941,1944,
2415,Gösta Skoglund,s,Västerbottens län,Andra kammaren,1941,1944,
2416,Göta Rosén,s (till 1942),Örebro län,Andra kammaren,1941,1944,
2417,Hans Levin,s,Malmöhus län,Andra kammaren,1941,1944,
