,name,party,district,chamber,start,end,occupation,gender,id
724,Carl Gustaf Olsson i Golvasta,Bondeförbundet,Uppsala län,Andra kammaren,1922,1924,,man,carl_gustaf_olsson_i_golvasta_01b9
725,Carl Jansson i Edsbäcken,Unknown f,Värmlands län,Andra kammaren,1922,1924,,man,carl_jansson_i_edsbäcken_f21e
726,Carl Johan Johansson i Uppmälby,Socialdemokraterna,Södermanlands län,Andra kammaren,1922,1924,,man,carl_johan_johansson_i_uppmälby_c9c6
727,Carl Johan Jonsson i Mörkhult,Högerpartiet,Jönköpings län,Andra kammaren,1922,1924,,man,carl_johan_jonsson_i_mörkhult_dd17
728,Carl Johanson i Hörninge,Bondeförbundet,Kalmar län,Andra kammaren,1922,1924,,man,carl_johanson_i_hörninge_57da
729,Carl Knutsson,Socialdemokraterna,Östergötlands län,Andra kammaren,1922,1924,,man,carl_knutsson_3fc6
730,Carl Lovén,Socialdemokraterna,Fyrstadskretsen,Andra kammaren,1922,1924,,man,carl_lovén_5af9
731,Carl Molin,Socialdemokraterna,Örebro län,Andra kammaren,1922,1924,,man,carl_molin_6ecd
732,Carl Oscar Johansson i Sollefteå,Socialdemokraterna,Västernorrlands län,Andra kammaren,1922,1924,,man,carl_oscar_johansson_i_sollefteå_1492
733,Carl Otto Vahlstedt,Socialdemokraterna,Skaraborgs län,Andra kammaren,1922,1924,,man,carl_otto_vahlstedt_0838
734,Carl Petrus Olsson i Mellerud,Socialdemokraterna,Norra valkretsen,Andra kammaren,1922,1924,,man,carl_petrus_olsson_i_mellerud_fd99
735,Carl Ros,Högerpartiet,Värmlands län,Andra kammaren,1922,1924,,man,carl_ros_a4a2
736,Carl Sehlin,Unknown f,Jämtlands län,Andra kammaren,1922,1924,,man,carl_sehlin_3bbd
737,Carl Sjögren,Socialdemokraterna,Östergötlands län,Andra kammaren,1922,1924,,man,carl_sjögren_3fc6
738,Carl Strid,Socialdemokraterna,Hallands län,Andra kammaren,1922,1924,,man,carl_strid_90bf
739,Carl Vilhelm Carlsson i Mölndal,Socialdemokraterna,Göteborgs och Bohus län,Andra kammaren,1922,1924,,man,carl_vilhelm_carlsson_i_mölndal_f596
740,Carl Wilhelm Oskar Höglund,Socialdemokraterna,Göteborgs stad,Andra kammaren,1922,1924,,man,carl_wilhelm_oskar_höglund_b9d2
741,Carl Öberg,Högerpartiet,Västernorrlands län,Andra kammaren,1922,1924,,man,carl_öberg_7df7
742,Claes Lindskog,Högerpartiet,Fyrstadskretsen,Andra kammaren,1922,1924,,man,claes_lindskog_2869
743,Conrad Jonsson,Socialdemokraterna,Södermanlands län,Andra kammaren,1922,1924,,man,conrad_jonsson_c9c6
744,Cornelius Olsson i Berg,Högerpartiet,Göteborgs och Bohus län,Andra kammaren,1922,1924,,man,cornelius_olsson_i_berg_288c
745,Daniel Poppius,Högerpartiet,Malmöhus län,Andra kammaren,1922,1924,,man,daniel_poppius_8fc7
746,David Hjalmar Pettersson i Bjälbo,Högerpartiet,Östergötlands län,Andra kammaren,1922,1924,,man,david_hjalmar_pettersson_i_bjälbo_9972
747,David Norman,Högerpartiet,Kalmar län,Andra kammaren,1922,1924,,man,david_norman_7f72
748,Edvard Johansson,Socialdemokraterna,Stockholms stad,Andra kammaren,1922,1924,,man,edvard_johansson_edcf
749,Edvard Lithander,Högerpartiet,Göteborgs stad,Andra kammaren,1922,1924,,man,edvard_lithander_b62e
750,Edvard Uddenberg,Socialdemokraterna,Örebro län,Andra kammaren,1922,1924,,man,edvard_uddenberg_6ecd
751,Edvin Leffler,Högerpartiet,Södra valkretsen,Andra kammaren,1922,1924,,man,edvin_leffler_ddb0
752,Elisabeth Tamm,Högerpartiet,Södermanlands län,Andra kammaren,1922,1924,,woman,elisabeth_tamm_03b2
753,Elof Lindberg,Socialdemokraterna,Västerbottens län,Andra kammaren,1922,1924,,man,elof_lindberg_2566
754,Emil Andersson i Prästbol,Socialdemokraterna,Värmlands län,Andra kammaren,1922,1924,,man,emil_andersson_i_prästbol_749a
755,Emil Bengtsson i Kullen,Högerpartiet,Skaraborgs län,Andra kammaren,1922,1924,,man,emil_bengtsson_i_kullen_f791
756,Emil Gustafson,Unknown f,Kalmar län,Andra kammaren,1922,1924,,man,emil_gustafson_408c
757,Emil Kristensson,Socialdemokraterna,Göteborgs stad,Andra kammaren,1922,1924,,man,emil_kristensson_b9d2
758,Emil Olovson,Socialdemokraterna,Västmanlands län,Andra kammaren,1922,1924,,man,emil_olovson_8849
759,Eric Björnberg,Unknown f,Uppsala län,Andra kammaren,1922,1924,,man,eric_björnberg_13f9
760,Erik Agabus Nilson i Örebro,Liberalerna,Örebro län,Andra kammaren,1922,1924,,man,erik_agabus_nilson_i_örebro_50ce
761,Erik Fast,Socialdemokraterna,Jönköpings län,Andra kammaren,1922,1924,,man,erik_fast_db67
762,Erik Gustaf Johansson i Kullersta,Socialdemokraterna,Östergötlands län,Andra kammaren,1922,1924,,man,erik_gustaf_johansson_i_kullersta_3fc6
763,Erik Laurén,Högerpartiet,Södermanlands län,Andra kammaren,1922,1924,,man,erik_laurén_03b2
764,Erik Lundbom,Socialdemokraterna,Södermanlands län,Andra kammaren,1922,1924,,man,erik_lundbom_c9c6
765,Erik Nylander,Högerpartiet,Stockholms stad,Andra kammaren,1922,1924,,man,erik_nylander_8cdc
766,Erik Rydström,Unknown f,Kronobergs län,Andra kammaren,1922,1924,,man,erik_rydström_f2ca
767,Erik Röing,Unknown f,Göteborgs stad,Andra kammaren,1922,1924,,man,erik_röing_6842
768,Erik Uddenberg,Högerpartiet,Hallands län,Andra kammaren,1922,1924,,man,erik_uddenberg_885e
769,Erik Åkerlund,,Stockholms län,Andra kammaren,1922,1924,,man,erik_åkerlund_47d2
770,Ernst Eriksson,Socialdemokraterna,Stockholms stad,Andra kammaren,1922,1924,,man,ernst_eriksson_edcf
771,Ernst Hage,Socialdemokraterna,Norrbottens län,Andra kammaren,1922,1924,,man,ernst_hage_9770
772,Ernst Lindley,Socialdemokraterna,Gävleborgs län,Andra kammaren,1922,1924,,man,ernst_lindley_07e5
773,Eskils Hans Hansson i Bäck,Unknown f,Kopparbergs län,Andra kammaren,1922,1924,,,eskils_hans_hansson_i_bäck_8fb2
774,Ewald Lindmark,Högerpartiet,Västerbottens län,Andra kammaren,1922,1924,,,ewald_lindmark_f247
775,F.V. Thorsson,Socialdemokraterna,Malmöhus län,Andra kammaren,1922,1924,,,f.v._thorsson_603f
776,Fabian Månsson i Hagaström,Socialdemokraterna,Gävleborgs län,Andra kammaren,1922,1924,,man,fabian_månsson_i_hagaström_07e5
777,Felix Hamrin,Unknown f,Jönköpings län,Andra kammaren,1922,1924,,man,felix_hamrin_cd19
778,Frans Ericson i Boxholm,Socialdemokraterna,Östergötlands län,Andra kammaren,1922,1924,,man,frans_ericson_i_boxholm_3fc6
779,Fredrik Aarnseth,Socialdemokraterna,Kopparbergs län,Andra kammaren,1922,1924,,man,fredrik_aarnseth_f6ac
780,Gerhard Strindlund,Bondeförbundet,Västernorrlands län,Andra kammaren,1922,1924,,man,gerhard_strindlund_52f5
781,Gottfrid Karlsson i Vadstena,Socialdemokraterna,Östergötlands län,Andra kammaren,1922,1924,,man,gottfrid_karlsson_i_vadstena_3fc6
782,Gottfrid Svärd,Socialdemokraterna,Jönköpings län,Andra kammaren,1922,1924,,man,gottfrid_svärd_db67
783,Gustaf Adolf Björkman,Högerpartiet,Östergötlands län,Andra kammaren,1922,1924,,man,gustaf_adolf_björkman_9972
784,Gustaf Andersson i Rasjön,Unknown f,Kopparbergs län,Andra kammaren,1922,1924,,man,gustaf_andersson_i_rasjön_8fb2
785,Gustaf Gustafsson i Älvsered,Högerpartiet,Södra valkretsen,Andra kammaren,1922,1924,,man,gustaf_gustafsson_i_älvsered_ddb0
786,Gustaf Nilsson i Vibberbo,Bondeförbundet,Kopparbergs län,Andra kammaren,1922,1924,,man,gustaf_nilsson_i_vibberbo_d1bf
787,Gustaf Olsson i Ramsta,Unknown f,Södermanlands län,Andra kammaren,1922,1924,,man,gustaf_olsson_i_ramsta_12da
788,Gustaf Pettersson (senare Hellbacken),Socialdemokraterna,Kopparbergs län,Andra kammaren,1922,1924,,man,gustaf_pettersson_(senare_hellbacken)_f6ac
789,Gustav Anton Holmberg,Socialdemokraterna,Östergötlands län,Andra kammaren,1922,1924,,man,gustav_anton_holmberg_3fc6
790,Gustav Johansson (senare Hallagård),Bondeförbundet,Skaraborgs län,Andra kammaren,1922,1924,,man,gustav_johansson_(senare_hallagård)_4365
791,Harry Weibull,Högerpartiet,Fyrstadskretsen,Andra kammaren,1922,1924,,man,harry_weibull_2869
792,Helge Bäcklund,Socialdemokraterna,Skaraborgs län,Andra kammaren,1922,1924,,man,helge_bäcklund_0838
793,Helmer Lagerkwist,Socialdemokraterna,Västernorrlands län,Andra kammaren,1922,1924,,man,helmer_lagerkwist_1492
794,Helmer Molander,Unknown k,Västernorrlands län,Andra kammaren,1922,1924,,man,helmer_molander_c68b
795,Henning Leo,Socialdemokraterna,Kronobergs län,Andra kammaren,1922,1924,,man,henning_leo_1ec1
796,Henrik Kinmanson,Högerpartiet,Stockholms stad,Andra kammaren,1922,1924,,man,henrik_kinmanson_8cdc
797,Herman Andersson i Grimbo,Bondeförbundet,Göteborgs och Bohus län,Andra kammaren,1922,1924,,man,herman_andersson_i_grimbo_a5f5
798,Herman Blomquist,Socialdemokraterna,Kronobergs län,Andra kammaren,1922,1924,,man,herman_blomquist_1ec1
799,Herman Lindqvist,Socialdemokraterna,Stockholms stad,Andra kammaren,1922,1924,,man,herman_lindqvist_edcf
800,Herman Norling,Socialdemokraterna,Värmlands län,Andra kammaren,1922,1924,,man,herman_norling_749a
801,Hjalmar Branting,Socialdemokraterna,Stockholms stad,Andra kammaren,1922,1924,,man,hjalmar_branting_edcf
802,Hjalmar Svensson i Grönvik,Bondeförbundet,Kronobergs län,Andra kammaren,1922,1924,,man,hjalmar_svensson_i_grönvik_b076
803,Hugo Karlström i Lummelunda,Bondeförbundet,Gotlands län,Andra kammaren,1922,1924,,man,hugo_karlström_i_lummelunda_43d3
804,Ivar Pettersson i Stäringe,Bondeförbundet,Örebro län,Andra kammaren,1922,1924,,man,ivar_pettersson_i_stäringe_4849
805,Ivar Vennerström,Socialdemokraterna,Västernorrlands län,Andra kammaren,1922,1924,,man,ivar_vennerström_1492
806,Ivar Österström,Unknown f,Västernorrlands län,Andra kammaren,1922,1924,,man,ivar_österström_2247
807,Jakob Pettersson i Södertälje,,Stockholms län,Andra kammaren,1922,1924,,man,jakob_pettersson_i_södertälje_47d2
808,Janne Nilsson i Hörby,Bondeförbundet,Malmöhus län,Andra kammaren,1922,1924,,,janne_nilsson_i_hörby_c57a
809,Johan August Jonsson i Hökhult,Högerpartiet,Jönköpings län,Andra kammaren,1922,1924,,man,johan_august_jonsson_i_hökhult_dd17
810,Johan Bernhard Eriksson i Grängesberg,,Kopparbergs län,Andra kammaren,1922,1924,,man,johan_bernhard_eriksson_i_grängesberg_00b6
811,Johan Igel i Getebol,Unknown f,Värmlands län,Andra kammaren,1922,1924,,man,johan_igel_i_getebol_f21e
812,Johan Johansson i Kälkebo,Bondeförbundet,Gävleborgs län,Andra kammaren,1922,1924,,man,johan_johansson_i_kälkebo_956b
813,Johan Jönsson i Revinge,Unknown f,Malmöhus län,Andra kammaren,1922,1924,,man,johan_jönsson_i_revinge_deb2
814,Johan Olofsson i Digernäs,Unknown f,Jämtlands län,Andra kammaren,1922,1924,,man,johan_olofsson_i_digernäs_3bbd
815,Johan Rehn,Unknown f,Västerbottens län,Andra kammaren,1922,1924,,man,johan_rehn_2f93
816,Johan Wilhelm Billqvist,Socialdemokraterna,Skaraborgs län,Andra kammaren,1922,1924,,man,johan_wilhelm_billqvist_0838
817,John Jönsson i Boa,Högerpartiet,Blekinge län,Andra kammaren,1922,1924,,man,john_jönsson_i_boa_cd79
818,Jonas Dahlén,Unknown k,Norrbottens län,Andra kammaren,1922,1924,,man,jonas_dahlén_fa02
819,Jonny Fjellman,Högerpartiet,Malmöhus län,Andra kammaren,1922,1924,,man,jonny_fjellman_8fc7
820,Julius Hedvall,Socialdemokraterna,Göteborgs stad,Andra kammaren,1922,1924,,man,julius_hedvall_b9d2
821,Karl Allan Westman,Bondeförbundet,Östergötlands län,Andra kammaren,1922,1924,,man,karl_allan_westman_47e5
822,Karl Arthur Ryberg,Bondeförbundet,Södra valkretsen,Andra kammaren,1922,1924,,man,karl_arthur_ryberg_1c63
823,Karl August Borg,Socialdemokraterna,Uppsala län,Andra kammaren,1922,1924,,man,karl_august_borg_bbef
824,Karl Johan Söderberg,Socialdemokraterna,Stockholms län,Andra kammaren,1922,1924,,man,karl_johan_söderberg_f16d
825,Karl Kilbom,Unknown k,Stockholms stad,Andra kammaren,1922,1924,,man,karl_kilbom_cbff
826,Karl Magnusson i Kalmar,Socialdemokraterna,Kalmar län,Andra kammaren,1922,1924,,man,karl_magnusson_i_kalmar_071c
827,Karl Magnusson i Skövde,Högerpartiet,Skaraborgs län,Andra kammaren,1922,1924,,man,karl_magnusson_i_skövde_f791
828,Karl Starbäck,Högerpartiet,Stockholms stad,Andra kammaren,1922,1924,,man,karl_starbäck_8cdc
829,Karl Teodor Andersson,Socialdemokraterna,Södermanlands län,Andra kammaren,1922,1924,,man,karl_teodor_andersson_c9c6
830,Karl Verner Karlsson i Vätö,Socialdemokraterna,Stockholms län,Andra kammaren,1922,1924,,man,karl_verner_karlsson_i_vätö_f16d
831,Karl Ward,Socialdemokraterna,Östergötlands län,Andra kammaren,1922,1924,,man,karl_ward_3fc6
832,Karl Wiktor Holmström,Socialdemokraterna,Stockholms stad,Andra kammaren,1922,1924,,man,karl_wiktor_holmström_edcf
833,Kristoffer Bergström,Högerpartiet,Norrbottens län,Andra kammaren,1922,1924,,man,kristoffer_bergström_2206
834,Lars Anton Björklund,Socialdemokraterna,Kristianstads län,Andra kammaren,1922,1924,,man,lars_anton_björklund_2aa6
835,Lars Borggren,Socialdemokraterna,Kristianstads län,Andra kammaren,1922,1924,,man,lars_borggren_2aa6
836,Lars Dalgren,Socialdemokraterna,Kalmar län,Andra kammaren,1922,1924,,man,lars_dalgren_071c
837,Lars Johan Carlsson i Frosterud,Socialdemokraterna,Värmlands län,Andra kammaren,1922,1924,,man,lars_johan_carlsson_i_frosterud_749a
838,Lars Olsson i Hov,Unknown f,Gävleborgs län,Andra kammaren,1922,1924,,man,lars_olsson_i_hov_fe81
839,Lucas Petersson i Broaryd,Bondeförbundet,Jönköpings län,Andra kammaren,1922,1924,,man,lucas_petersson_i_broaryd_eff1
840,Ludvig Lorichs,Högerpartiet,Västmanlands län,Andra kammaren,1922,1924,,man,ludvig_lorichs_04cf
841,Ludwig Brännström,Högerpartiet,Västerbottens län,Andra kammaren,1922,1924,,man,ludwig_brännström_f247
842,Martin Andersson i Igelboda,Socialdemokraterna,Stockholms län,Andra kammaren,1922,1924,,man,martin_andersson_i_igelboda_f16d
843,Martin Jensen,Socialdemokraterna,Fyrstadskretsen,Andra kammaren,1922,1924,,man,martin_jensen_5af9
844,Mauritz Västberg,Socialdemokraterna,Västernorrlands län,Andra kammaren,1922,1924,,man,mauritz_västberg_1492
845,Nelly Thüring,Socialdemokraterna,Göteborgs stad,Andra kammaren,1922,1924,,woman,nelly_thüring_b9d2
846,Nils Björk i Tryde,Socialdemokraterna,Kristianstads län,Andra kammaren,1922,1924,,man,nils_björk_i_tryde_2aa6
847,Nils Edén,Liberalerna,Stockholms stad,Andra kammaren,1922,1924,,man,nils_edén_5360
848,Nils Erik Nilsson i Antnäs,Högerpartiet,Norrbottens län,Andra kammaren,1922,1924,,man,nils_erik_nilsson_i_antnäs_2206
849,Nils Holmström,Högerpartiet,Gävleborgs län,Andra kammaren,1922,1924,,man,nils_holmström_b392
850,Nils Johansson i Brånalt,Bondeförbundet,Hallands län,Andra kammaren,1922,1924,,man,nils_johansson_i_brånalt_fa89
851,Nils Svensson i Långelanda,Högerpartiet,Värmlands län,Andra kammaren,1922,1924,,man,nils_svensson_i_långelanda_a4a2
852,Nils Törnkvist,Socialdemokraterna,Malmöhus län,Andra kammaren,1922,1924,,man,nils_törnkvist_603f
853,Nils Winkler,Högerpartiet,Fyrstadskretsen,Andra kammaren,1922,1924,,man,nils_winkler_2869
854,Ola Hansson Waldén,Socialdemokraterna,Fyrstadskretsen,Andra kammaren,1922,1924,,man,ola_hansson_waldén_5af9
855,Ola Isacsson,Socialdemokraterna,Kristianstads län,Andra kammaren,1922,1924,,man,ola_isacsson_2aa6
856,Ola Jeppsson,Unknown f,Blekinge län,Andra kammaren,1922,1924,,man,ola_jeppsson_4a86
857,Olof Andersson i Höör,Socialdemokraterna,Malmöhus län,Andra kammaren,1922,1924,,man,olof_andersson_i_höör_603f
858,Olof Johansson i Edsbyn,Unknown f,Gävleborgs län,Andra kammaren,1922,1924,,man,olof_johansson_i_edsbyn_fe81
859,Olof Nilsson i Tånga,Socialdemokraterna,Malmöhus län,Andra kammaren,1922,1924,,man,olof_nilsson_i_tånga_603f
860,Olof Nilsson i Örebro,Socialdemokraterna,Örebro län,Andra kammaren,1922,1924,,man,olof_nilsson_i_örebro_6ecd
861,Olof Olsson,Bondeförbundet,Malmöhus län,Andra kammaren,1922,1924,,man,olof_olsson_c57a
862,Oscar Carlström,Unknown f,Jönköpings län,Andra kammaren,1922,1924,,man,oscar_carlström_cd19
863,Oscar Johanson i Huskvarna,Högerpartiet,Jönköpings län,Andra kammaren,1922,1924,,man,oscar_johanson_i_huskvarna_dd17
864,Oscar Lundquist,Högerpartiet,Uppsala län,Andra kammaren,1922,1924,,man,oscar_lundquist_c5b2
865,Oscar Lövgren i Nyborg,Socialdemokraterna,Norrbottens län,Andra kammaren,1922,1924,,man,oscar_lövgren_i_nyborg_9770
866,Oscar Nathanael Olsson (senare Broberg),Högerpartiet,Göteborgs och Bohus län,Andra kammaren,1922,1924,,man,oscar_nathanael_olsson_(senare_broberg)_288c
867,Oscar Osberg,Unknown f,Göteborgs och Bohus län,Andra kammaren,1922,1924,,man,oscar_osberg_a789
868,Oskar Hagman,Socialdemokraterna,Stockholms stad,Andra kammaren,1922,1924,,man,oskar_hagman_edcf
869,Oskar Kloo,Socialdemokraterna,Blekinge län,Andra kammaren,1922,1924,,man,oskar_kloo_342f
870,Oskar Sjölander,Socialdemokraterna,Uppsala län,Andra kammaren,1922,1924,,man,oskar_sjölander_bbef
871,Otto Magnusson i Tumbhult,Högerpartiet,Kronobergs län,Andra kammaren,1922,1924,,man,otto_magnusson_i_tumbhult_0f34
872,Otto Silfverschiöld,Högerpartiet,Norra valkretsen,Andra kammaren,1922,1924,,man,otto_silfverschiöld_d11e
873,Pehr Pehrsson,Högerpartiet,Göteborgs stad,Andra kammaren,1922,1924,,,pehr_pehrsson_b62e
874,Per Albin Hansson,Socialdemokraterna,Stockholms stad,Andra kammaren,1922,1924,,man,per_albin_hansson_edcf
875,Per Edvin Sköld,Socialdemokraterna,Malmöhus län,Andra kammaren,1922,1924,,man,per_edvin_sköld_603f
876,Per Granath,Socialdemokraterna,Gävleborgs län,Andra kammaren,1922,1924,,man,per_granath_07e5
877,Per Henning Sjöblom,Socialdemokraterna,Stockholms län,Andra kammaren,1922,1924,,man,per_henning_sjöblom_f16d
878,Per Nilsson i Bonarp,Högerpartiet,Kristianstads län,Andra kammaren,1922,1924,,man,per_nilsson_i_bonarp_9997
879,Per Persson i Trången,Bondeförbundet,Jämtlands län,Andra kammaren,1922,1924,,man,per_persson_i_trången_c735
880,Peter Magnus Olsson i Blädinge,Högerpartiet,Kronobergs län,Andra kammaren,1922,1924,,man,peter_magnus_olsson_i_blädinge_0f34
881,Petrus Ödström,Unknown f,Örebro län,Andra kammaren,1922,1924,,,petrus_ödström_8e06
882,Raoul Hamilton,Unknown f,Kristianstads län,Andra kammaren,1922,1924,,man,raoul_hamilton_429d
883,Richard Hermelin,Högerpartiet,Hallands län,Andra kammaren,1922,1924,,man,richard_hermelin_885e
884,Robert Berg,Socialdemokraterna,Blekinge län,Andra kammaren,1922,1924,,man,robert_berg_342f
885,Robert Jansson i Falun,Socialdemokraterna,Kopparbergs län,Andra kammaren,1922,1924,,man,robert_jansson_i_falun_f6ac
886,Robert Karlsson i Gasabäck,Unknown f,Västernorrlands län,Andra kammaren,1922,1924,,man,robert_karlsson_i_gasabäck_2247
887,Robert Samuelsson,Unknown k,Norrbottens län,Andra kammaren,1922,1924,,man,robert_samuelsson_fa02
888,Ruben Wagnsson,Socialdemokraterna,Kalmar län,Andra kammaren,1922,1924,,man,ruben_wagnsson_071c
889,Samuel Hedlund i Häste,Högerpartiet,Jämtlands län,Andra kammaren,1922,1924,,man,samuel_hedlund_i_häste_5d1d
890,Sigurd Carlsson,Högerpartiet,Kalmar län,Andra kammaren,1922,1924,,man,sigurd_carlsson_7f72
891,Sven Bengtsson i Norup,Unknown f,Kristianstads län,Andra kammaren,1922,1924,,man,sven_bengtsson_i_norup_429d
892,Sven Edward Julius Lübeck,Högerpartiet,Stockholms stad,Andra kammaren,1922,1924,,man,sven_edward_julius_lübeck_8cdc
893,Sven Johan Karlsson i Nynäshamn,Socialdemokraterna,Stockholms län,Andra kammaren,1922,1924,,man,sven_johan_karlsson_i_nynäshamn_f16d
894,Sven Ljungkvist,Socialdemokraterna,Södra valkretsen,Andra kammaren,1922,1924,,man,sven_ljungkvist_ad16
895,Sven Olsson i Labbemåla,Unknown f,Östergötlands län,Andra kammaren,1922,1924,,man,sven_olsson_i_labbemåla_8cf3
896,Svening Alfred Larsson i Kroken,Högerpartiet,Södra valkretsen,Andra kammaren,1922,1924,,,svening_alfred_larsson_i_kroken_ddb0
897,Swen Jönsson i Fridhill,Unknown f,Kristianstads län,Andra kammaren,1922,1924,,,swen_jönsson_i_fridhill_429d
898,Swen Persson i Fritorp,Högerpartiet,Kristianstads län,Andra kammaren,1922,1924,,,swen_persson_i_fritorp_9997
899,Theodor Gardell,Bondeförbundet,Gotlands län,Andra kammaren,1922,1924,,man,theodor_gardell_43d3
900,Theodor Hansén,Unknown f,Gotlands län,Andra kammaren,1922,1924,,man,theodor_hansén_0fbf
901,Theodor af Ekenstam,Högerpartiet,Östergötlands län,Andra kammaren,1922,1924,,man,theodor_af_ekenstam_9972
902,Valerius Olsson,Högerpartiet,Kalmar län,Andra kammaren,1922,1924,,,valerius_olsson_7f72
903,Verner Hedlund i Östersund,Socialdemokraterna,Jämtlands län,Andra kammaren,1922,1924,,man,verner_hedlund_i_östersund_a93e
904,Verner Karlsson i Grängesberg,Unknown k,Kopparbergs län,Andra kammaren,1922,1924,,man,verner_karlsson_i_grängesberg_f02d
905,Viktor Herou,Unknown k,Gävleborgs län,Andra kammaren,1922,1924,,man,viktor_herou_ebf8
906,Viktor Larsson i Västerås,Socialdemokraterna,Västmanlands län,Andra kammaren,1922,1924,,man,viktor_larsson_i_västerås_8849
907,Viktor Öhman,Socialdemokraterna,Örebro län,Andra kammaren,1922,1924,,man,viktor_öhman_6ecd
908,Värner Rydén,Socialdemokraterna,Fyrstadskretsen,Andra kammaren,1922,1924,,,värner_rydén_5af9
909,Werner Bäckström,Unknown f,Västerbottens län,Andra kammaren,1922,1924,,,werner_bäckström_2f93
910,Adolf Dahl,Högerpartiet,Blekinge län och Kristianstads län,Första kammaren,1924,1930,,man,adolf_dahl_2816
911,Adolf Lindgren,Högerpartiet,Örebro län,Första kammaren,1924,1930,,man,adolf_lindgren_35b8
912,Albert Bergström,Socialdemokraterna,Östergötlands län med Norrköpings stad,Första kammaren,1924,1930,,man,albert_bergström_27f3
913,Albin Andersson i Myggnäs,Bondeförbundet,Göteborgs och Bohus län,Första kammaren,1924,1930,,man,albin_andersson_i_myggnäs_a5f5
914,Alexander Nilsson i Fredriksfält,Bondeförbundet,Blekinge län och Kristianstads län,Första kammaren,1924,1930,,man,alexander_nilsson_i_fredriksfält_361c
915,Alexis Björkman,Socialdemokraterna,Södermanlands och Västmanlands län,Första kammaren,1924,1930,,,alexis_björkman_2545
916,Anders Antonsson,Högerpartiet,Malmöhus län med Malmö stad och Helsingborgs stad,Första kammaren,1924,1930,,man,anders_antonsson_f74c
917,Anders Elisson,Bondeförbundet,Kronobergs och Hallands län,Första kammaren,1924,1930,,man,anders_elisson_64d3
918,Anders Johan Bärg,Socialdemokraterna,Södermanlands och Västmanlands län,Första kammaren,1924,1930,,man,anders_johan_bärg_2545
919,Anders Lindblad,Socialdemokraterna,Göteborgs stad,Första kammaren,1924,1930,,man,anders_lindblad_b9d2
920,Anders Olof Frändén,Högerpartiet,Västernorrlands län och Jämtlands län,Första kammaren,1924,1930,,man,anders_olof_frändén_a4f6
921,Anders Pers,Liberalerna,Kopparbergs län,Första kammaren,1924,1930,,man,anders_pers_971f
922,Anders Örne,Socialdemokraterna,Örebro län,Första kammaren,1924,1930,,man,anders_örne_6ecd
923,Arvid Thorberg,Socialdemokraterna,Stockholms stad,Första kammaren,1924,1930,,man,arvid_thorberg_edcf
924,Assar Emanuel Åkerman,Socialdemokraterna,Södermanlands och Västmanlands län,Första kammaren,1924,1930,,man,assar_emanuel_åkerman_2545
925,August Johansson i Lövholmen,Unknown f,Skaraborgs län,Första kammaren,1924,1930,,man,august_johansson_i_lövholmen_3501
926,Axel Fredrik Wennersten,Högerpartiet,Älvsborgs län,Första kammaren,1924,1930,,man,axel_fredrik_wennersten_71e5
927,Axel Olof Rune,Unknown f,Kalmar läns norra och södra landstingsområden samt Gotlands län,Första kammaren,1924,1930,,man,axel_olof_rune_c940
928,Axel Rooth,Högerpartiet,Kronobergs och Hallands län,Första kammaren,1924,1930,,man,axel_rooth_4315
929,Axel Sundberg,Högerpartiet,Göteborgs och Bohus län,Första kammaren,1924,1930,,man,axel_sundberg_288c
930,Axel von Sneidern,Högerpartiet,Älvsborgs län,Första kammaren,1924,1930,,man,axel_von_sneidern_71e5
931,Bo von Stockenström,Liberalerna,Södermanlands och Västmanlands län,Första kammaren,1924,1930,,man,bo_von_stockenström_f0fe
932,Carl Albert Lindhagen,Socialdemokraterna,Västernorrlands län och Jämtlands län,Första kammaren,1924,1930,,man,carl_albert_lindhagen_1c39
933,Carl Boberg,Högerpartiet,Kalmar läns norra och södra landstingsområden samt Gotlands län,Första kammaren,1924,1930,,man,carl_boberg_d67c
934,Carl Carlsson,Unknown f,Gävleborgs län med Gävle stad,Första kammaren,1924,1930,,man,carl_carlsson_b935
935,Carl Eriksson i Ljusdal,Socialdemokraterna,Gävleborgs län med Gävle stad,Första kammaren,1924,1930,,man,carl_eriksson_i_ljusdal_337f
936,Carl Gotthard Ekman,Liberalerna,Stockholms län och Uppsala län,Första kammaren,1924,1930,,man,carl_gotthard_ekman_1747
937,Carl Gustaf Hammarskjöld,Högerpartiet,Östergötlands län med Norrköpings stad,Första kammaren,1924,1930,,man,carl_gustaf_hammarskjöld_163c
938,Carl Hederstierna,Högerpartiet,Stockholms stad,Första kammaren,1924,1930,,man,carl_hederstierna_8cdc
939,Carl Johan Gustaf Swartz,Högerpartiet,Östergötlands län med Norrköpings stad,Första kammaren,1924,1930,,man,carl_johan_gustaf_swartz_163c
940,Carl Johansson,Socialdemokraterna,Malmöhus län med Malmö stad och Helsingborgs stad,Första kammaren,1924,1930,,man,carl_johansson_f65e
941,Carl Primus Wahlmark,Socialdemokraterna,Stockholms län och Uppsala län,Första kammaren,1924,1930,,man,carl_primus_wahlmark_b783
942,Carl Schedin,Bondeförbundet,Kopparbergs län,Första kammaren,1924,1930,,man,carl_schedin_d1bf
943,Carl Svensson,Socialdemokraterna,Södermanlands och Västmanlands län,Första kammaren,1924,1930,,man,carl_svensson_2545
944,Carl Thorén,Unknown f,Kronobergs och Hallands län,Första kammaren,1924,1930,,man,carl_thorén_7cc7
