,pattern,txt,replacement,filename
0,metadata,Riksdagens protokoll,,prot-198384--145
0,metadata,1983/84 144-145,,prot-198384--145
0,metadata,Onsdagen den 16 maj 1984,,prot-198384--145
0,metadata,"Anf. 107 MAGNUS PERSSON (s) replik: tionen, m. m.",,prot-198384--145
0,metadata,9 Riksdagens protokoll 1983/84:144-145,,prot-198384--145
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-198384--145
0,metadata,Mom. 4 och 5 Utskottets hemställan bifölls.,,prot-198384--145
0,metadata,bostadsräkning,,prot-198384--145
0,metadata,12 Riksdagens protokoll 1983/84:144-145,,prot-198384--145
0,metadata,Onsdagen den 16 maj,,prot-198384--145
