pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,0,5,3,prot-201516--115
fcfff492e00727b6,Stockholm,Helsingfors,0,11,5,prot-201516--115
fcfff492e00727b6,Stockholm,Helsingfors,0,13,5,prot-201516--115
fcfff492e00727b6,Stockholm,Helsingfors,0,15,5,prot-201516--115
fcfff492e00727b6,Stockholm,Helsingfors,0,31,12,prot-201516--115
fcfff492e00727b6,Stockholm,Helsingfors,0,34,114,prot-201516--115
fcfff492e00727b6,Stockholm,Helsingfors,0,34,181,prot-201516--115
fcfff492e00727b6,Stockholm,Helsingfors,0,34,227,prot-201516--115
fcfff492e00727b6,Stockholm,Helsingfors,0,36,6,prot-201516--115
fcfff492e00727b6,Stockholm,Helsingfors,0,45,6,prot-201516--115
fcfff492e00727b6,Stockholm,Helsingfors,0,46,34,prot-201516--115
