,pattern,txt,replacement,filename
0,metadata,Riksdagens protokoll,,prot-198485--20
0,metadata,1984/85 19-21,,prot-198485--20
0,metadata,Tisdagen den 6 november,,prot-198485--20
0,metadata,1984/85:20,,prot-198485--20
0,metadata,Nr 20 Måndagen den,,prot-198485--20
0,metadata,8 Riksdagens protokoll 1984/85:19-21,,prot-198485--20
0,metadata,9 Riksdagens protokoll 1984/85:19-21,,prot-198485--20
0,metadata,Måndagen den,,prot-198485--20
1,metadata,ä - Snovember 1984 Överläggningen var härmed avslutad.,,prot-198485--20
2,metadata,Om energipolitiken,,prot-198485--20
0,metadata,10 Riksdagens protokoll 1984/85:19-21,,prot-198485--20
0,metadata,Förteckning över talare 1984/85 (Siffrorna avser sida i protokollen) 19-21,,prot-198485--20
0,metadata,minab/gotab Stockholm 1984 79294,,prot-198485--20
