pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,18,1,1,prot-1945--fk--9
fcfff492e00727b6,Stockholm,Helsingfors,19,1,1,prot-1945--fk--9
fcfff492e00727b6,Stockholm,Helsingfors,35,3,8,prot-1945--fk--9
fcfff492e00727b6,Stockholm,Helsingfors,36,1,2,prot-1945--fk--9
fcfff492e00727b6,Stockholm,Helsingfors,38,9,0,prot-1945--fk--9
fcfff492e00727b6,Stockholm,Helsingfors,39,1,0,prot-1945--fk--9
fcfff492e00727b6,Stockholm,Helsingfors,40,16,0,prot-1945--fk--9
fcfff492e00727b6,Stockholm,Helsingfors,41,11,0,prot-1945--fk--9
