,pattern,txt,replacement,filename
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1958-a-fk--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1958-a-fk--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1958-a-fk--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1958-a-fk--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1958-a-fk--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1958-a-fk--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1958-a-fk--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1958-a-fk--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1958-a-fk--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1958-a-fk--7
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1958-a-fk--7
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1958-a-fk--7
3,fcfff492e00727b6,Stockholm,Helsingfors,prot-1958-a-fk--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1958-a-fk--7
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1958-a-fk--7
