pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,0,8,0,prot-1958-b-fk--6
fcfff492e00727b6,Stockholm,Helsingfors,14,3,1,prot-1958-b-fk--6
fcfff492e00727b6,Stockholm,Helsingfors,19,15,0,prot-1958-b-fk--6
fcfff492e00727b6,Stockholm,Helsingfors,20,6,0,prot-1958-b-fk--6
fcfff492e00727b6,Stockholm,Helsingfors,34,3,1,prot-1958-b-fk--6
fcfff492e00727b6,Stockholm,Helsingfors,51,20,1,prot-1958-b-fk--6
fcfff492e00727b6,Stockholm,Helsingfors,52,1,0,prot-1958-b-fk--6
fcfff492e00727b6,Stockholm,Helsingfors,90,1,0,prot-1958-b-fk--6
fcfff492e00727b6,Stockholm,Helsingfors,118,9,3,prot-1958-b-fk--6
fcfff492e00727b6,Stockholm,Helsingfors,118,10,1,prot-1958-b-fk--6
fcfff492e00727b6,Stockholm,Helsingfors,119,2,0,prot-1958-b-fk--6
fcfff492e00727b6,Stockholm,Helsingfors,119,3,1,prot-1958-b-fk--6
fcfff492e00727b6,Stockholm,Helsingfors,119,7,0,prot-1958-b-fk--6
fcfff492e00727b6,Stockholm,Helsingfors,119,10,0,prot-1958-b-fk--6
fcfff492e00727b6,Stockholm,Helsingfors,119,11,2,prot-1958-b-fk--6
