protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who,id
prot-1965--ak--15,0,0,-1,,metadata,,
prot-1965--ak--15,0,2,-1,,metadata,,
prot-1965--ak--15,1,0,-1,,metadata,,
prot-1965--ak--15,1,2,-1,,metadata,,
prot-1965--ak--15,1,4,-1,,metadata,,
prot-1965--ak--15,1,5,-1,,metadata,,
prot-1965--ak--15,1,7,-1,,metadata,,
prot-1965--ak--15,1,8,-1,,metadata,,
prot-1965--ak--15,1,9,-1,,metadata,,
prot-1965--ak--15,1,10,-1,,metadata,,
prot-1965--ak--15,1,11,-1,,metadata,,
prot-1965--ak--15,1,12,-1,,metadata,,
prot-1965--ak--15,1,13,-1,,metadata,,
prot-1965--ak--15,2,1,-1,,metadata,,
prot-1965--ak--15,3,10,-1,,metadata,,
prot-1965--ak--15,3,13,-1,,metadata,,
prot-1965--ak--15,3,14,-1,,metadata,,
prot-1965--ak--15,3,16,-1,,metadata,,
prot-1965--ak--15,3,19,-1,,metadata,,
prot-1965--ak--15,3,23,-1,,metadata,,
prot-1965--ak--15,3,25,-1,,metadata,,
prot-1965--ak--15,3,26,-1,,metadata,,
prot-1965--ak--15,3,27,-1,,metadata,,
prot-1965--ak--15,3,34,-1,,metadata,,
prot-1965--ak--15,3,36,-1,,metadata,,
prot-1965--ak--15,3,40,-1,,metadata,,
prot-1965--ak--15,3,47,-1,,metadata,,
prot-1965--ak--15,4,0,-1,,metadata,,
prot-1965--ak--15,4,1,-1,,metadata,,
prot-1965--ak--15,4,2,-1,,metadata,,
prot-1965--ak--15,4,4,-1,,metadata,,
prot-1965--ak--15,4,6,-1,,metadata,,
prot-1965--ak--15,4,8,-1,,metadata,,
prot-1965--ak--15,4,12,0,f0d538d10bda4e34,speech_start,hans_nordgren_29a8a4,prot-1965--ak--15-hans_nordgren_29a8a4-4-12-0
prot-1965--ak--15,4,12,0,0ba23c147c1beed8,speech_start,hans_nordgren_29a8a4,prot-1965--ak--15-hans_nordgren_29a8a4-4-12-0
prot-1965--ak--15,5,0,-1,,metadata,,
prot-1965--ak--15,5,1,-1,,metadata,,
prot-1965--ak--15,5,4,0,f0d538d10bda4e34,speech_start,william_bjork_dae1d0,prot-1965--ak--15-william_bjork_dae1d0-5-4-0
prot-1965--ak--15,5,4,0,0ba23c147c1beed8,speech_start,william_bjork_dae1d0,prot-1965--ak--15-william_bjork_dae1d0-5-4-0
prot-1965--ak--15,6,0,-1,,metadata,,
prot-1965--ak--15,6,2,0,f0d538d10bda4e34,speech_start,einar_rimmerfors_39cf15,prot-1965--ak--15-einar_rimmerfors_39cf15-6-2-0
prot-1965--ak--15,6,2,0,0ba23c147c1beed8,speech_start,einar_rimmerfors_39cf15,prot-1965--ak--15-einar_rimmerfors_39cf15-6-2-0
prot-1965--ak--15,6,3,-1,,metadata,,
prot-1965--ak--15,6,9,0,f0d538d10bda4e34,speech_start,eric_svenning_fa7c05,prot-1965--ak--15-eric_svenning_fa7c05-6-9-0
prot-1965--ak--15,6,9,0,0ba23c147c1beed8,speech_start,eric_svenning_fa7c05,prot-1965--ak--15-eric_svenning_fa7c05-6-9-0
prot-1965--ak--15,7,0,-1,,metadata,,
prot-1965--ak--15,7,4,-1,,metadata,,
prot-1965--ak--15,8,0,-1,,metadata,,
prot-1965--ak--15,8,1,-1,,metadata,,
prot-1965--ak--15,8,11,-1,,metadata,,
prot-1965--ak--15,9,0,-1,,metadata,,
prot-1965--ak--15,9,1,-1,,metadata,,
prot-1965--ak--15,9,3,0,f0d538d10bda4e34,speech_start,hans_levin_97dc18,prot-1965--ak--15-hans_levin_97dc18-9-3-0
prot-1965--ak--15,9,3,0,0ba23c147c1beed8,speech_start,hans_levin_97dc18,prot-1965--ak--15-hans_levin_97dc18-9-3-0
prot-1965--ak--15,9,5,-1,,metadata,,
prot-1965--ak--15,9,9,-1,,metadata,,
prot-1965--ak--15,10,0,-1,,metadata,,
prot-1965--ak--15,10,6,-1,,metadata,,
prot-1965--ak--15,10,8,-1,,metadata,,
prot-1965--ak--15,10,12,0,f0d538d10bda4e34,speech_start,carl-wilhelm_lothigius_db0670,prot-1965--ak--15-carl-wilhelm_lothigius_db0670-10-12-0
prot-1965--ak--15,10,12,0,0ba23c147c1beed8,speech_start,carl-wilhelm_lothigius_db0670,prot-1965--ak--15-carl-wilhelm_lothigius_db0670-10-12-0
prot-1965--ak--15,11,0,-1,,metadata,,
prot-1965--ak--15,11,3,-1,,metadata,,
prot-1965--ak--15,12,0,-1,,metadata,,
prot-1965--ak--15,12,5,-1,,metadata,,
prot-1965--ak--15,12,7,0,f0d538d10bda4e34,speech_start,ragnar_lassinantti_60e9f9,prot-1965--ak--15-ragnar_lassinantti_60e9f9-12-7-0
prot-1965--ak--15,12,7,0,0ba23c147c1beed8,speech_start,ragnar_lassinantti_60e9f9,prot-1965--ak--15-ragnar_lassinantti_60e9f9-12-7-0
prot-1965--ak--15,13,0,-1,,metadata,,
prot-1965--ak--15,13,4,-1,,metadata,,
prot-1965--ak--15,13,6,0,f0d538d10bda4e34,speech_start,carl-wilhelm_lothigius_db0670,prot-1965--ak--15-carl-wilhelm_lothigius_db0670-13-6-0
prot-1965--ak--15,13,6,0,0ba23c147c1beed8,speech_start,carl-wilhelm_lothigius_db0670,prot-1965--ak--15-carl-wilhelm_lothigius_db0670-13-6-0
prot-1965--ak--15,14,0,-1,,metadata,,
prot-1965--ak--15,14,2,-1,,metadata,,
prot-1965--ak--15,15,0,-1,,metadata,,
prot-1965--ak--15,15,3,0,f0d538d10bda4e34,speech_start,hans_levin_97dc18,prot-1965--ak--15-hans_levin_97dc18-15-3-0
prot-1965--ak--15,15,3,0,0ba23c147c1beed8,speech_start,hans_levin_97dc18,prot-1965--ak--15-hans_levin_97dc18-15-3-0
prot-1965--ak--15,15,4,-1,,metadata,,
prot-1965--ak--15,15,7,-1,,metadata,,
prot-1965--ak--15,16,0,-1,,metadata,,
prot-1965--ak--15,16,3,-1,,metadata,,
prot-1965--ak--15,17,0,-1,,metadata,,
prot-1965--ak--15,17,3,-1,,metadata,,
prot-1965--ak--15,18,0,-1,,metadata,,
prot-1965--ak--15,18,4,-1,,metadata,,
prot-1965--ak--15,18,8,-1,,metadata,,
prot-1965--ak--15,19,0,-1,,metadata,,
prot-1965--ak--15,19,5,-1,,metadata,,
prot-1965--ak--15,20,0,-1,,metadata,,
prot-1965--ak--15,20,1,-1,,metadata,,
prot-1965--ak--15,20,9,-1,,metadata,,
prot-1965--ak--15,20,12,-1,,metadata,,
prot-1965--ak--15,20,19,0,f0d538d10bda4e34,speech_start,gunnar_heckscher_aa6cad,prot-1965--ak--15-gunnar_heckscher_aa6cad-20-19-0
prot-1965--ak--15,20,19,0,0ba23c147c1beed8,speech_start,gunnar_heckscher_aa6cad,prot-1965--ak--15-gunnar_heckscher_aa6cad-20-19-0
prot-1965--ak--15,21,0,-1,,metadata,,
prot-1965--ak--15,21,1,-1,,metadata,,
prot-1965--ak--15,21,4,0,f0d538d10bda4e34,speech_start,,prot-1965--ak--15-unk-21-4-0
prot-1965--ak--15,22,0,-1,,metadata,,
prot-1965--ak--15,22,1,-1,,metadata,,
prot-1965--ak--15,22,5,0,f0d538d10bda4e34,speech_start,gunnar_heckscher_aa6cad,prot-1965--ak--15-gunnar_heckscher_aa6cad-22-5-0
prot-1965--ak--15,22,5,0,0ba23c147c1beed8,speech_start,gunnar_heckscher_aa6cad,prot-1965--ak--15-gunnar_heckscher_aa6cad-22-5-0
prot-1965--ak--15,23,0,-1,,metadata,,
prot-1965--ak--15,23,1,-1,,metadata,,
prot-1965--ak--15,23,8,-1,,metadata,,
prot-1965--ak--15,23,13,-1,,metadata,,
prot-1965--ak--15,23,16,-1,,metadata,,
prot-1965--ak--15,24,0,-1,,metadata,,
prot-1965--ak--15,24,1,-1,,metadata,,
prot-1965--ak--15,24,4,0,f0d538d10bda4e34,speech_start,erik_adamsson_a6ad6d,prot-1965--ak--15-erik_adamsson_a6ad6d-24-4-0
