,pattern,txt,replacement,filename
0,metadata,Riksdagens protokoll 1985/86:26—-30,,prot-198586--30
0,metadata,Prot. 1985/86 26-30,,prot-198586--30
0,metadata,Fredagen den 15 november,,prot-198586--30
0,metadata,Tisdagen den 19 november,,prot-198586--30
0,metadata,Avgjorda ärenden,,prot-198586--30
0,metadata,1985/86:30,,prot-198586--30
0,metadata,Prot. 1985/86:30,,prot-198586--30
0,metadata,Prot. 1985/86:30 19 november 1985,,prot-198586--30
0,metadata,Om översyn av jordförvärvslagen,,prot-198586--30
0,metadata,5 & Svar på interpellation 1985/86:37 om ökat statligt stöd till jordbrukare = Prot. 1985/86:30,,prot-198586--30
0,metadata,10 Riksdagens protokoll 1985/86:26-30,,prot-198586--30
0,metadata,Meddelande om inter-,,prot-198586--30
0,metadata,"1985/86:56 av Hans Petersson i Hallstahammar (vpk) till finansministern om slopad moms på mat, m. m.:",,prot-198586--30
0,metadata,1985/86:58 av Kjell-Arne Welin (fp) till finansministern om arbetsgivaravpellätloner,,prot-198586--30
0,metadata,1985/86:202 av Olle Östrand (s) till försvarsministern om beredskapen vid helikopterbaserna i Söderhamn och Luleå:,,prot-198586--30
0,metadata,1985/86:209 av Per-Richard Molén (m) till utbildningsministern om lärarhögskolan i Härnösand:,,prot-198586--30
0,metadata,1985/86:216 av Jan Jennehag (vpk) till kommunikationsministern om postverkets försäljning av vissa tjänster:,,prot-198586--30
