,filename,pattern,txt,person
0,prot-1928--ak--24,8f6bb79aaba3167f,"herr Eriksson i Västbro, som yttrade: Herr talman",Gustaf Eriksson
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Thore: Herr talman,
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Lindqvist i Halmstad: Herr talman,Herman Lindqvist
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Lindman: Herr talman,Arvid Lindman
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Olsson i Kullenbergstorp: Herr talman,Valerius Olsson
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Lindqvist i Halmstad: Herr talman,Herman Lindqvist
1,prot-1928--ak--24,8f6bb79aaba3167f,Herr Thore: Herr talman,
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Törnkvist i Karlskrona: Herr talman,Nils Törnkvist
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Pehrsson i Göteborg: Herr talman,Per Pehrsson
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Olsson i Kullenbergstorp: Herr talman,Valerius Olsson
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Törnkvist i Karlskrona: Herr talman,Nils Törnkvist
1,prot-1928--ak--24,8f6bb79aaba3167f,Herr Lindman: Herr talman,Arvid Lindman
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Törnkvist i Karlskrona: Herr talman,Nils Törnkvist
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Weiine: Herr talman,
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Olsson i Mora: Herr talman,Valerius Olsson
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Andersson i Ovanmyra: Herr talman,Karl Teodor Andersson
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Holmdahl: Herr talman,Otto Holmdahl
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Göranson: Herr talman,
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Mosesson: Herr talman,Gustav Mosesson
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Herou: Herr talman,Viktor Herou
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Lindberg: Herr talman,Elof Lindberg
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Forssell: Herr talman,Arne Forssell
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Sävström: Herr talman,August Sävström
1,prot-1928--ak--24,8f6bb79aaba3167f,Herr Engberg: Herr talman,Arthur Engberg
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Sjöström: Herr talman,Algot Sjöström
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Forssell: Herr talman,Arne Forssell
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Forssell: Herr talman,Arne Forssell
0,prot-1928--ak--24,8f6bb79aaba3167f,"Herr Sköld, som anförde: Herr talman",Per Edvin Sköld
0,prot-1928--ak--24,8f6bb79aaba3167f,"Herr af Ekenstam, som yttrade: Herr talman",Theodor af Ekenstam
1,prot-1928--ak--24,8f6bb79aaba3167f,Herr af Ekenstam: Herr talman,Theodor af Ekenstam
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Björkman: Herr talman,Nils Björk
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Christenson i Södertälje: Herr talman,Birger Christenson
0,prot-1928--ak--24,8f6bb79aaba3167f,"Herr Lindqvist i Halmstad, som anförde: Herr talman",Herman Lindqvist
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Johansson i Brånalt: Herr talman,Otto Johansson
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Paulsen: Herr talman,Anders Paulsen
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Lindman: Herr talman,Arvid Lindman
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Olsson i Kullenbergstorp: Herr talman,Valerius Olsson
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Johanson i Huskvarna: Herr talman,Oscar Johanson
1,prot-1928--ak--24,8f6bb79aaba3167f,Herr Lindman: Herr talman,Arvid Lindman
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr af Ekenstam: Herr talman,Theodor af Ekenstam
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Lindqvist i Halmstad: Herr talman,Herman Lindqvist
1,prot-1928--ak--24,8f6bb79aaba3167f,Herr Olsson i Rimforsa: Herr talman,Valerius Olsson
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr af Ekenstam: Herr talman,Theodor af Ekenstam
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Lindqvist i Halmstad: Herr talman,Herman Lindqvist
1,prot-1928--ak--24,8f6bb79aaba3167f,Herr Andersson i Rasjön: Herr talman,Karl Teodor Andersson
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Leo: Herr talman,Henning Leo
0,prot-1928--ak--24,8f6bb79aaba3167f,Fru Nordgren: Herr talman,
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr af Ekenstam: Herr talman,Theodor af Ekenstam
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr af Ekenstam: Herr talman,Theodor af Ekenstam
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Lindqvist i Halmstad: Herr talman,Herman Lindqvist
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr af Ekenstam: Herr talman,Theodor af Ekenstam
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Leo: Herr talman,Henning Leo
1,prot-1928--ak--24,8f6bb79aaba3167f,Herr Lindqvist i Halmstad: Herr talman,Herman Lindqvist
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Lindqvist i Halmstad: Herr talman,Herman Lindqvist
1,prot-1928--ak--24,8f6bb79aaba3167f,Herr Leo: Herr talman,Henning Leo
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Christenson i Södertälje: Herr talman,Birger Christenson
1,prot-1928--ak--24,8f6bb79aaba3167f,Herr Karlsson i Vätö: Herr talman,Verner Karlsson i Vätö
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Johanson i Huskvarna: Herr talman,Oscar Johanson
0,prot-1928--ak--24,8f6bb79aaba3167f,Herr Lindqvist i Halmstad: Herr talman,Herman Lindqvist
0,prot-1928--ak--24,8f6bb79aaba3167f,"Herr Leo, som yttrade: Herr talman",Henning Leo
