,filename,pattern,txt,person
0,prot-1957--ak--16,8f6bb79aaba3167f,"herr statsrådet NÄSGÅRD, som yttrade:
Herr talman",Bernhard Näsgård
0,prot-1957--ak--16,8f6bb79aaba3167f,"herr statsrådet SKOGLUND, som yttrade:
Herr talman",Martin Skoglund
0,prot-1957--ak--16,0ba23c147c1beed8,Herr SEHLSTEDT (s):,Ossian Sehlstedt
0,prot-1957--ak--16,0ba23c147c1beed8,Herr HÅSTAD (h):,Elis Håstad
0,prot-1957--ak--16,0ba23c147c1beed8,Herr SPÅNGBERG (s):,Gunnar Berg
0,prot-1957--ak--16,0ba23c147c1beed8,Herr SEHLSTEDT (s):,Ossian Sehlstedt
0,prot-1957--ak--16,0ba23c147c1beed8,Herr HALLEN (s):,David Hall
0,prot-1957--ak--16,0ba23c147c1beed8,Herr GEZELIUS (h):,Birger Gezelius
1,prot-1957--ak--16,0ba23c147c1beed8,Fru SANDSTRÖM (fp):,Ragnhild Sandström
0,prot-1957--ak--16,0ba23c147c1beed8,Herr STENBERG (fp):,Gunnar Berg
0,prot-1957--ak--16,0ba23c147c1beed8,Herr HÅSTAD (h):,Elis Håstad
0,prot-1957--ak--16,0ba23c147c1beed8,Fru SANDSTRÖM (fp):,Ragnhild Sandström
0,prot-1957--ak--16,0ba23c147c1beed8,Herr SPÅNGBERG (s):,Gunnar Berg
0,prot-1957--ak--16,0ba23c147c1beed8,Herr HAMMAR (fp):,Olof Hammar
0,prot-1957--ak--16,0ba23c147c1beed8,Herr SWEDBERG (fp):,Gunnar Berg
0,prot-1957--ak--16,0ba23c147c1beed8,Herr ALEMYR (s):,Stig Alemyr
0,prot-1957--ak--16,8f6bb79aaba3167f,"Herr SVENSSON i Ljungskile kort genmäle:
Herr talman",Rikard Svensson
1,prot-1957--ak--16,0ba23c147c1beed8,Herr HÅSTAD (h):,Elis Håstad
0,prot-1957--ak--16,0ba23c147c1beed8,Herr OLOFSON (fp):,
0,prot-1957--ak--16,0ba23c147c1beed8,Herr OLOFSON (fp):,
0,prot-1957--ak--16,0ba23c147c1beed8,Herr SUNDSTRÖM (s):,Walter Sundström
0,prot-1957--ak--16,8f6bb79aaba3167f,"Herr GUSTAFSON i kort genmäle:
Herr talman",Sven Gustafson
0,prot-1957--ak--16,8f6bb79aaba3167f,"Herr GUSTAFSON i kort genmäåle:
Herr talman",Sven Gustafson
0,prot-1957--ak--16,0ba23c147c1beed8,Herr KÄRRLANDER (s):,Harald Kärrlander
0,prot-1957--ak--16,8f6bb79aaba3167f,"Herr GUSTAFSON i kort genmäle:
Herr talman",Sven Gustafson
0,prot-1957--ak--16,8f6bb79aaba3167f,"herr statsrådet STRÄNG:
Herr talman",Gunnar Sträng
1,prot-1957--ak--16,8f6bb79aaba3167f,"Herr GUSTAFSON i kort genmäle:
Herr talman",Sven Gustafson
0,prot-1957--ak--16,0ba23c147c1beed8,Herr HOLMBERG (k):,Gunnar Berg
0,prot-1957--ak--16,0ba23c147c1beed8,Herr NELANDER (fp):,Eric Nelander
0,prot-1957--ak--16,0ba23c147c1beed8,Herr RUBBESTAD (bf):,Axel Rubbestad
0,prot-1957--ak--16,0ba23c147c1beed8,Herr NESTRUP (fp):,Nils Nestrup
0,prot-1957--ak--16,0ba23c147c1beed8,Herr ARVIDSON (s):,
0,prot-1957--ak--16,8f6bb79aaba3167f,herr statsrådet PERSSON: Herr talman,Ragnar Persson
0,prot-1957--ak--16,8f6bb79aaba3167f,"herr statsrådet PERSSON:
Herr talman",Ragnar Persson
