,pattern,txt,replacement,filename
0,metadata,1980 U:5-7 4-5 september 1980,,prot-1980-urtima-7
0,metadata,1980 U:7 Nr U:7,,prot-1980-urtima-7
0,metadata,10 Riksdagens protokoll 1980 U:5-7,,prot-1980-urtima-7
0,metadata,Nr U:7 Fredagen den 5 september 1980,,prot-1980-urtima-7
0,metadata,5 september 1980,,prot-1980-urtima-7
0,metadata,11 Riksdagens protokoll 1980 U:5-7,,prot-1980-urtima-7
0,metadata,Nr U:7 Fredagen den,,prot-1980-urtima-7
0,metadata,12 Riksdagens protokoll 1980 U:5-7,,prot-1980-urtima-7
0,metadata,13 Riksdagens protokoll 1980 U:5-7,,prot-1980-urtima-7
0,metadata,14 Riksdagens protokoll 1980 U:5-7,,prot-1980-urtima-7
0,metadata,$ 2 Kammaren åtskildes kl. 23.42. In fidem,,prot-1980-urtima-7
0,metadata,1980 U 87,,prot-1980-urtima-7
