,pattern,txt,replacement,filename
0,metadata,1980/81:54—55 18 december 1980,,prot-198081--54
0,metadata,1980/81 54-55,,prot-198081--54
0,metadata,"1980/81:15 om viss följdlagstiftning till socialtjänstlagen, m. m.",,prot-198081--54
0,metadata,1980/81:54,,prot-198081--54
0,metadata,Torsdagen den 18 december 1980,,prot-198081--54
0,metadata,Nr 54 Torsdagen den 18 december 1980,,prot-198081--54
0,metadata,5 Riksdagens protokoll 1980/81:54-55,,prot-198081--54
0,metadata,7 Riksdagens protokoll 1980/81:54-55,,prot-198081--54
0,metadata,18 december 1980 Anf. 65 INGRID SUNDBERG (m) replik:,,prot-198081--54
0,metadata,Utskottets hemställan bifölls. 8 Riksdagens protokoll 1980/81:54-55,,prot-198081--54
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-198081--54
0,metadata,Utbildningsutskottets betänkande 1980/81:13 om tilläggsbudget I (prop. 1980/81:25),,prot-198081--54
0,metadata,168 Kammaren åtskildes kl. 17.47.,,prot-198081--54
0,metadata,GOTAB 66327 Stockholm 1981,,prot-198081--54
