,pattern,txt,replacement,filename
0,metadata,Riksdagens protokoll,,prot-1980-urtima-6
0,metadata,Nr U:6 Fredagen den,,prot-1980-urtima-6
0,metadata,2 Riksdagens protokoll 1980 U:5-7,,prot-1980-urtima-6
0,metadata,Nr U:6 Fredagen den 5 september 1980,,prot-1980-urtima-6
0,metadata,3 Riksdagens protokoll 1980 U:5-7,,prot-1980-urtima-6
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1980-urtima-6
0,metadata,4 Riksdagens protokoll 1980 U:5-7,,prot-1980-urtima-6
0,metadata,Fredagen den 5 september 1980,,prot-1980-urtima-6
0,metadata,5 Riksdagens protokoll 1980 U:5-7,,prot-1980-urtima-6
0,metadata,7 Riksdagens protokoll 1980 U:5-7,,prot-1980-urtima-6
0,metadata,8 Riksdagens protokoll 1980 U:5-7,,prot-1980-urtima-6
0,metadata,9 Riksdagens protokoll 1980 U:5-7,,prot-1980-urtima-6
0,metadata,$ 2 Kammaren åtskildes kl. 17.56. In fidem,,prot-1980-urtima-6
0,metadata,1980 U 87,,prot-1980-urtima-6
