pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,0,8,2,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,13,3,3,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,22,3,0,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,47,4,3,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,49,3,1,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,66,3,1,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,90,4,1,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,91,3,0,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,92,4,5,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,94,3,2,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,96,3,0,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,129,3,0,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,130,3,1,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,130,4,0,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,130,4,1,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,147,4,1,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,152,3,1,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,157,3,1,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,164,3,2,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,180,8,1,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,191,10,0,prot-1951-extrahöst-ak--29
fcfff492e00727b6,Stockholm,Helsingfors,193,5,0,prot-1951-extrahöst-ak--29
