,pattern,txt,replacement,filename
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1951-extrahöst-ak--33
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1951-extrahöst-ak--33
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1951-extrahöst-ak--33
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1951-extrahöst-ak--33
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1951-extrahöst-ak--33
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1951-extrahöst-ak--33
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1951-extrahöst-ak--33
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1951-extrahöst-ak--33
1,fcfff492e00727b6,Stockholm,Helsingfors,prot-1951-extrahöst-ak--33
2,fcfff492e00727b6,Stockholm,Helsingfors,prot-1951-extrahöst-ak--33
3,fcfff492e00727b6,Stockholm,Helsingfors,prot-1951-extrahöst-ak--33
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1951-extrahöst-ak--33
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1951-extrahöst-ak--33
0,fcfff492e00727b6,Stockholm,Helsingfors,prot-1951-extrahöst-ak--33
