pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,5,7,1,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,5,7,4,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,5,7,5,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,6,1,0,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,9,1,5,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,13,1,4,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,15,1,4,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,18,1,1,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,18,1,2,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,18,1,4,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,18,1,5,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,18,1,6,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,25,1,0,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,25,1,1,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,27,1,0,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,27,1,4,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,28,1,2,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,29,0,1,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,30,1,2,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,30,1,4,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,32,1,3,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,32,1,5,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,33,1,0,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,33,1,2,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,33,3,0,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,33,3,2,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,34,1,1,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,40,3,4,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,42,1,0,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,42,1,4,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,45,1,0,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,54,9,0,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,54,13,0,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,55,2,0,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,55,4,0,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,56,2,0,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,56,2,1,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,56,3,0,prot-1939--ak--20
fcfff492e00727b6,Stockholm,Helsingfors,67,8,3,prot-1939--ak--20
