pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,0,8,1,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,2,6,1,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,18,6,0,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,39,6,0,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,44,8,0,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,60,4,0,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,60,6,1,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,117,4,0,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,117,7,0,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,117,7,2,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,120,4,2,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,121,4,3,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,134,3,3,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,134,4,2,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,137,3,0,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,144,6,0,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,145,4,1,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,145,5,0,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,145,6,1,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,171,16,7,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,172,5,0,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,172,8,0,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,176,10,0,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,176,10,3,prot-1959-höst-ak--24
fcfff492e00727b6,Stockholm,Helsingfors,177,4,2,prot-1959-höst-ak--24
