pattern,txt,replacement,page,cb_ix,tb_ix,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,3,7,0,prot-197980--161
fcfff492e00727b6,Stockholm,Helsingfors,5,9,1,prot-197980--161
fcfff492e00727b6,Stockholm,Helsingfors,8,2,3,prot-197980--161
fcfff492e00727b6,Stockholm,Helsingfors,8,2,5,prot-197980--161
fcfff492e00727b6,Stockholm,Helsingfors,11,8,2,prot-197980--161
fcfff492e00727b6,Stockholm,Helsingfors,12,0,2,prot-197980--161
fcfff492e00727b6,Stockholm,Helsingfors,12,0,3,prot-197980--161
fcfff492e00727b6,Stockholm,Helsingfors,14,1,1,prot-197980--161
fcfff492e00727b6,Stockholm,Helsingfors,14,1,2,prot-197980--161
fcfff492e00727b6,Stockholm,Helsingfors,14,1,4,prot-197980--161
fcfff492e00727b6,Stockholm,Helsingfors,14,2,2,prot-197980--161
fcfff492e00727b6,Stockholm,Helsingfors,58,7,0,prot-197980--161
fcfff492e00727b6,Stockholm,Helsingfors,59,3,1,prot-197980--161
fcfff492e00727b6,Stockholm,Helsingfors,60,6,1,prot-197980--161
fcfff492e00727b6,Stockholm,Helsingfors,60,7,0,prot-197980--161
fcfff492e00727b6,Stockholm,Helsingfors,73,1,11,prot-197980--161
fcfff492e00727b6,Stockholm,Helsingfors,74,0,0,prot-197980--161
